Model,AUROC_drop,AUPRC_drop,Brier_drop,ECE_drop,MCE_drop,Shift,Family,Severity
XGBoost,-0.0004364621137139535,-0.0005545451934055867,4.3639827077057713e-05,-3.321950428476425e-05,-0.016436263867793593,0.0002899931294023268,Classical,Minimal
LogisticRegression,-0.00047770262839530453,-0.002397275874976623,0.00019888158973671577,-0.0001647973203680736,0.0009138083423085863,0.0005596796395262301,Classical,Minimal
Random Forest,-0.0006203260750027306,-0.0007917478857273341,7.520647031297734e-05,6.171498111840965e-05,0.0013940120408753032,0.0006478672097084936,Classical,Minimal
MLP,-0.00016152534916968886,-0.0005753774734230666,4.299067312234228e-05,8.609814245945716e-05,-0.003813250930197548,0.00023319671277479507,Classical,Minimal
LSTM,5.4987352908986153e-05,0.0003661861467609828,-4.238160396975721e-05,-0.00034883474431661107,0.0001049041748046875,0.00031855684937909245,Deep,Minimal
LSTM_DS,0.00011856647970964751,0.00013240290281524292,-3.761456621188819e-05,-4.706404832821934e-06,-0.00013697147369384766,0.0002169450162909925,Deep,Minimal
ChannelwiseLSTM,0.0003499715898677147,0.0007379773585713956,-0.00010557734867450153,0.0004205448804573426,-0.0006715655326843262,0.0005487405578605831,Deep,Minimal
ChannelwiseLSTM_DS,0.00012028483448811578,0.0004876976701614355,-4.51872032465328e-05,-0.00010878887710972715,0.0001977086067199707,0.0005818487261421978,Deep,Minimal
