Feature,Reference,HighWeight,ReferenceRank,HighRank,SHAP_change
Glascow coma scale motor response->2 Abnorm extensn,0.0,0.0,80.0,81.0,0.0
Glascow coma scale motor response->5 Localizes Pain,0.0,0.0,80.0,81.0,0.0
Glascow coma scale eye opening->None,0.0,0.0,80.0,81.0,0.0
Glascow coma scale eye opening->2 To pain,0.0,0.0,80.0,81.0,0.0
pH,2.4888235146094757e-08,2.0916597605584047e-08,63.0,65.0,-3.97163754051071e-09
Glascow coma scale motor response->Abnormal Flexion,2.454542084251443e-06,1.5592815301109416e-06,61.0,63.0,-8.952605541405016e-07
mask->Hematocrit,0.00015599273752063848,0.00015479338677955776,29.0,31.0,-1.1993507410807238e-06
Glascow coma scale verbal response->Incomprehensible sounds,1.6547914410315705e-05,1.282186390944684e-05,60.0,60.0,-3.7260505008688654e-06
Glascow coma scale eye opening->4 Spontaneously,0.00016532013080420478,0.00016115616294629087,24.0,30.0,-4.163967857913911e-06
Glucose,3.598027306557047e-05,3.099303698247507e-05,56.0,57.0,-4.9872360830954e-06
mask->Hemoglobin,9.562730837881588e-05,8.966811144878284e-05,37.0,41.0,-5.959196930033033e-06
Glascow coma scale verbal response->Confused,0.00018976075529401394,0.00018320545562216628,21.0,27.0,-6.5552996718476605e-06
mask->Mean blood pressure,7.986488073563065e-05,7.218152042939529e-05,44.0,46.0,-7.683360306235356e-06
mask->Fraction inspired oxygen,0.00033494959898349813,0.00032372287236980994,7.0,13.0,-1.1226726613688194e-05
Glascow coma scale eye opening->To Speech,0.00019158596992665636,0.0001766821679292971,19.0,28.0,-1.490380199735926e-05
Sodium,0.00028585181323063463,0.0002695023113069393,15.0,17.0,-1.6349501923695344e-05
Glascow coma scale motor response->Flex-withdraws,8.390044954973397e-05,6.307012249763868e-05,42.0,47.0,-2.0830327052095288e-05
Glascow coma scale motor response->Localizes Pain,0.00015891731824646058,0.0001359390163753509,28.0,34.0,-2.2978301871109675e-05
Prothrombin time,0.00016064563830297607,0.00013586845196532655,27.0,35.0,-2.4777186337649517e-05
Oxygen saturation,0.00010159518399383764,7.560080943320496e-05,36.0,44.0,-2.599437456063268e-05
Glascow coma scale verbal response->Inappropriate Words,3.6176361140703626e-05,8.087039487582326e-06,55.0,61.0,-2.80893216531213e-05
Diastolic blood pressure,0.00034545880576749216,0.00031316345011870786,6.0,15.0,-3.2295355648784296e-05
Temperature,0.0003964920674660651,0.0003625756232858979,3.0,8.0,-3.3916444180167194e-05
mask->Glucose,0.00036583801440015197,0.00033139577039293636,5.0,10.0,-3.444224400721562e-05
Glascow coma scale verbal response->No Response,8.53417596699899e-05,4.9269824336333744e-05,41.0,53.0,-3.6071935333656156e-05
Heart Rate,0.0003685465777829002,0.00033130707935065303,4.0,11.0,-3.723949843224719e-05
