Model,Reference_AUROC,Reference_AUPRC,Reference_Brier,Reference_ECE,Reference_MCE,HighWBC_AUROC,HighWBC_AUPRC,HighWBC_Brier,HighWBC_ECE,HighWBC_MCE,Delta_AUROC,Delta_AUPRC,Delta_Brier,Delta_ECE,Delta_MCE
XGBoost,0.8799124348184123,0.5585828686223558,0.06207665488101739,0.012966311443079585,0.1722266452460495,0.8986642570912233,0.6525907996968013,0.08673322286887208,0.030517013284405304,0.17784113807082969,0.018751822272811025,0.0940079310744455,0.02465656798785469,0.01755070184132572,0.005614492824780187
LogisticRegression,0.8541390148405592,0.4789331573083173,0.0671191954784487,0.006849630549851418,0.13088926624554276,0.871601058117912,0.5629393723286652,0.09659805564100303,0.03559011673917618,0.20209800982163179,0.01746204327735279,0.08400621502034789,0.029478860162554327,0.02874048618932476,0.07120874357608903
Random Forest,0.8720331029121049,0.538360976177816,0.06299890903624757,0.011968607581112517,0.20310192812118344,0.8770042691391006,0.5948699459185706,0.09343098169524794,0.031900658607156164,0.23898628929096288,0.004971166226995671,0.05650896974075459,0.030432072659000373,0.019932051026043646,0.035884361169779444
MLP,0.8547323303232801,0.48410136841505796,0.06758361911945661,0.026741663536659976,0.23125270467422882,0.8690369555538093,0.5632318867103477,0.09744707635028546,0.029779134810661786,0.19397793103303634,0.014304625230529222,0.07913051829528978,0.029863457230828852,0.0030374712740018107,-0.03727477364119247
