Model,Reference_AUROC,Reference_AUPRC,Reference_Brier,Reference_ECE,Reference_MCE,HighWBC_AUROC,HighWBC_AUPRC,HighWBC_Brier,HighWBC_ECE,HighWBC_MCE,Delta_AUROC,Delta_AUPRC,Delta_Brier,Delta_ECE,Delta_MCE,Family
XGBoost,0.8799124348184123,0.5585828686223558,0.06207665488101739,0.012966311443079585,0.1722266452460495,0.8986642570912233,0.6525907996968013,0.08673322286887208,0.030517013284405304,0.17784113807082969,0.018751822272811025,0.0940079310744455,0.02465656798785469,0.01755070184132572,0.005614492824780187,Classical
LogisticRegression,0.8541390148405592,0.4789331573083173,0.0671191954784487,0.006849630549851418,0.13088926624554276,0.871601058117912,0.5629393723286652,0.09659805564100303,0.03559011673917618,0.20209800982163179,0.01746204327735279,0.08400621502034789,0.029478860162554327,0.02874048618932476,0.07120874357608903,Classical
Random Forest,0.8720331029121049,0.538360976177816,0.06299890903624757,0.011968607581112517,0.20310192812118344,0.8770042691391006,0.5948699459185706,0.09343098169524794,0.031900658607156164,0.23898628929096288,0.004971166226995671,0.05650896974075459,0.030432072659000373,0.019932051026043646,0.035884361169779444,Classical
MLP,0.8547323303232801,0.48410136841505796,0.06758361911945661,0.026741663536659976,0.23125270467422882,0.8690369555538093,0.5632318867103477,0.09744707635028546,0.029779134810661786,0.19397793103303634,0.014304625230529222,0.07913051829528978,0.029863457230828852,0.0030374712740018107,-0.03727477364119247,Classical
LSTM,0.8758231612974173,0.5264048027235138,0.06313975175472558,0.009841886533865037,0.13423020839691158,0.8800502867918599,0.6087028889198017,0.09016099748967243,0.016739379878018136,0.15057850438495013,0.004227125494442596,0.08229808619628798,0.027021245734946853,0.0068974933441530994,0.016348295988038553,Deep
LSTM_DS,0.8727568455052517,0.5340788634512207,0.06320930188839112,0.01133598273492041,0.13195737383582373,0.8841282313192426,0.605671789185133,0.08898460926742602,0.01519067269136924,0.0908385022826817,0.011371385813990886,0.0715929257339123,0.025775307379034898,0.0038546899564488295,-0.04111887155314203,Deep
ChannelwiseLSTM,0.8652994836620864,0.5183818358481563,0.06506117106667854,0.014434407138130595,0.18156911026347766,0.8806526806526807,0.6058705442162025,0.08947316689914814,0.01734333523891046,0.0822453498840332,0.015353196990594231,0.08748870836804612,0.0244119958324696,0.0029089281007798635,-0.09932376037944446,Deep
ChannelwiseLSTM_DS,0.8719512662937986,0.5203610000255721,0.06437674574074306,0.009546250412382811,0.12150361935297649,0.8804745815981772,0.6036533745161698,0.09032114818913249,0.01949247282874289,0.1937949565740732,0.008523315304378554,0.08329237449059779,0.025944402448389428,0.00994622241636008,0.07229133722109671,Deep
