Feature,Mean_Abs_SHAP_Reference,Rank_Reference,Mean_Abs_SHAP_Perturbed,Rank_Perturbed,SHAP_Change,Absolute_SHAP_Change,Rank_Change
Platelets_full_mean,0.027173126,70,0.032133542,58,0.004960416,0.004960416,-12
Lactate_last25%_min,0.04654902,41,0.041808512,44,-0.0047405064,0.0047405064,3
Glascow coma scale verbal response_last10%_std,0.0038091592,162,0.008530108,142,0.004720949,0.004720949,-20
Weight_full_max,0.091606274,11,0.096291654,10,0.0046853796,0.0046853796,-1
Heart Rate_full_min,0.021394813,83,0.026048085,71,0.0046532713,0.0046532713,-12
Diastolic blood pressure_last25%_max,0.03061032,61,0.035244267,55,0.004633948,0.004633948,-6
Prothrombin time_full_min,0.047254838,39,0.051847704,32,0.0045928657,0.0045928657,-7
Hematocrit_full_mean,0.019588688,88,0.015096694,107,-0.004491994,0.004491994,19
Heart Rate_last25%_min,0.025705898,74,0.02124779,86,-0.004458109,0.004458109,12
Prothrombin time_last10%_min,0.07943855,14,0.08387517,11,0.0044366196,0.0044366196,-3
Oxygen saturation_last25%_min,0.067347094,18,0.06304024,22,-0.004306853,0.004306853,4
Diastolic blood pressure_last25%_min,0.010029861,124,0.0057682493,158,-0.0042616115,0.0042616115,34
Diastolic blood pressure_full_min,0.031628698,59,0.027476856,67,-0.0041518416,0.0041518416,8
Systolic blood pressure_last25%_std,0.006880164,149,0.010518307,127,0.0036381427,0.0036381427,-22
Heart Rate_full_mean,0.0301545,63,0.033692118,56,0.0035376176,0.0035376176,-7
Sodium_last10%_min,0.009790549,125,0.013320041,113,0.0035294918,0.0035294918,-12
pH_full_min,0.019788476,87,0.01633405,101,-0.0034544263,0.0034544263,14
ICU_Trauma SICU (TSICU),0.0027592848,165,0.006147346,156,0.0033880612,0.0033880612,-9
Creatinine_full_std,0.030123997,65,0.026741354,68,-0.0033826437,0.0033826437,3
Systolic blood pressure_full_max,0.010910278,121,0.007528488,147,-0.0033817901,0.0033817901,26
ICU_Medical Intensive Care Unit (MICU),0.007239564,147,0.0038759643,164,-0.0033635995,0.0033635995,17
Lactate_full_max,0.0019074788,166,0.0052419296,160,0.0033344508,0.0033344508,-6
pH_last10%_min,0.0190873,90,0.015793053,105,-0.0032942463,0.0032942463,15
Oxygen saturation_last10%_min,0.064839646,21,0.061633505,25,-0.0032061413,0.0032061413,4
Glascow coma scale eye opening_last25%_std,0.013248253,104,0.016330546,102,0.003082293,0.003082293,-2
Glascow coma scale eye opening_last25%_min,0.009366523,134,0.012435504,119,0.0030689817,0.0030689817,-15
Platelets_last25%_std,0.012952787,106,0.016017165,104,0.0030643782,0.0030643782,-2
Glascow coma scale verbal response_last25%_std,0.0006659768,172,0.003725252,165,0.0030592754,0.0030592754,-7
Platelets_full_min,0.016103072,97,0.013094702,115,-0.0030083703,0.0030083703,18
Systolic blood pressure_last10%_min,0.008477485,139,0.011463885,122,0.0029864004,0.0029864004,-17
Glucose_last10%_max,0.004147576,160,0.0070091896,149,0.0028616134,0.0028616134,-11
Potassium_full_std,0.012279896,110,0.009421847,138,-0.0028580492,0.0028580492,28
Mean blood pressure_full_min,0.008979177,137,0.011677228,121,0.0026980508,0.0026980508,-16
