Model,Normal_AUROC,Normal_AUPRC,Normal_Brier,Normal_ECE,Normal_MCE,Obese_AUROC,Obese_AUPRC,Obese_Brier,Obese_ECE,Obese_MCE,Delta_AUROC,Delta_AUPRC,Delta_Brier,Delta_ECE,Delta_MCE,Family
XGBoost,,0.0,0.02921719869234257,0.10504870527600507,0.5746732685390727,0.9444444444444444,0.7,0.04696938746148722,0.11574762636219983,0.7711445937999564,,0.7,0.01775218876914465,0.01069892108619476,0.19647132526088362,Classical
LogisticRegression,,0.0,0.03334815788775001,0.11623746322455344,0.5443586865006295,0.9259259259259259,0.6666666666666666,0.0712641555253103,0.1079884780203659,0.6046038432992077,,0.6666666666666666,0.037915997637560296,-0.008248985204187542,0.060245156798578225,Classical
Random Forest,,0.0,0.00822928141534836,0.07363470789547157,0.22237517671035975,0.962962962962963,0.75,0.06350820849465395,0.14269601480410268,0.8481502735364783,,0.75,0.055278927079305595,0.06906130690863112,0.6257750968261185,Classical
MLP,,0.0,0.007815769190217694,0.08276956546340072,0.134346563317688,0.9259259259259259,0.6666666666666666,0.055266128167977956,0.06998122222390366,0.6158096076781506,,0.6666666666666666,0.04745035897776026,-0.012788343239497069,0.4814630443604626,Classical
