Feature,MeanAbsSHAP
ICU_Medical Intensive Care Unit (MICU),0.003944513
Lactate_full_min,0.0030798577
Glascow coma scale motor response_last25%_std,0.00307125
Glascow coma scale verbal response_last25%_std,0.0029340794
ICU_Coronary Care Unit (CCU),0.002795554
Potassium_full_max,0.0027351861
pH_last25%_std,0.002638792
Glascow coma scale eye opening_full_max,0.0022336522
Hematocrit_last25%_std,0.0016631123
Glascow coma scale verbal response_full_min,0.0014860714
Hemoglobin_last25%_std,0.0014463571
Oxygen saturation_last25%_max,0.0013470214
Hematocrit_last10%_std,0.00039174917
Glascow coma scale motor response_last10%_std,0.0
Height_full_min,0.0
Oxygen saturation_full_max,0.0
Platelets_last10%_std,0.0
Weight_last10%_std,0.0
White blood cell count_last10%_std,0.0
Weight_last25%_std,0.0
ICU_Intensive Care Unit (ICU),0.0
ICU_Medicine,0.0
ICU_Neuro Stepdown,0.0
ICU_PACU,0.0
ICU_Neurology,0.0
ICU_Surgery/Vascular/Intermediate,0.0
ICU_Surgery/Trauma,0.0
