Feature,MeanAbsSHAP
Systolic blood pressure_last10%_std,0.004071052
Lactate_full_min,0.0037146334
Glascow coma scale motor response_last25%_std,0.0034679072
ICU_Coronary Care Unit (CCU),0.0028475048
Potassium_full_max,0.0025786564
Glascow coma scale eye opening_full_max,0.0025651373
Glascow coma scale verbal response_last25%_std,0.0023858259
pH_last25%_std,0.002366404
Oxygen saturation_last25%_max,0.0023434428
Hematocrit_last25%_std,0.0014244001
Hemoglobin_last25%_std,0.0013944575
Glascow coma scale verbal response_full_min,0.0013048163
Hematocrit_last10%_std,0.0003076298
Glascow coma scale motor response_last10%_std,0.0
Height_full_min,0.0
Oxygen saturation_full_max,0.0
Platelets_last10%_std,0.0
Weight_last10%_std,0.0
White blood cell count_last10%_std,0.0
Weight_last25%_std,0.0
ICU_Intensive Care Unit (ICU),0.0
ICU_Medicine,0.0
ICU_Neuro Stepdown,0.0
ICU_PACU,0.0
ICU_Neurology,0.0
ICU_Surgery/Vascular/Intermediate,0.0
ICU_Surgery/Trauma,0.0
