Model,AUROC_drop,AUPRC_drop,Brier_drop,ECE_drop,MCE_drop,Shift,Family,Severity
XGBoost,-0.03014166116793149,-0.12930609636861556,0.025539142542329793,0.041891128512707626,0.18917685387059463,0.0613503403654732,Classical,Severe
LogisticRegression,-0.013164888742255965,-0.047458136337626966,0.008965523967296787,0.020420559581356787,0.11990502168175632,0.03788359658004985,Classical,Severe
Random Forest,-0.017453902269144783,-0.03479443599497545,0.012826904767098024,0.03403929434169295,0.11810897927597219,0.04857174866728539,Classical,Severe
MLP,-0.033157946588951104,-0.12840064968319864,0.026375393560614427,0.03995897378346949,0.23823814649502179,0.06055616789862285,Classical,Severe
LSTM,-0.018677370871366228,-0.07454305468183708,0.014215413778208216,0.039032616558664995,0.1873796614565591,0.049858056008815765,Deep,Severe
LSTM_DS,-0.012216356904578674,-0.033849988996150215,0.009249419849116314,0.030687809821345932,0.11446758567309767,0.04063279554247856,Deep,Severe
ChannelwiseLSTM,-0.0046613237288755105,-0.014916557620982873,0.004070003937324623,0.02530352866996245,0.06243175087553082,0.029480360448360443,Deep,Severe
ChannelwiseLSTM_DS,-0.004005484988452657,-0.030899650258931266,0.005677664285551012,0.024604818592178494,0.04622395303514265,0.03144761547446251,Deep,Severe
