Model,Reference_AUROC,Reference_AUPRC,Reference_Brier,Reference_ECE,Reference_MCE,HighWeight_AUROC,HighWeight_AUPRC,HighWeight_Brier,HighWeight_ECE,HighWeight_MCE,Delta_AUROC,Delta_AUPRC,Delta_Brier,Delta_ECE,Delta_MCE,Family
XGBoost,0.8881208804747336,0.6218968472294858,0.07989496498520883,0.023193333341177725,0.23637683671784399,0.8572808833678399,0.6742668640035331,0.08001943947055691,0.03501810740796957,0.5586938415942106,-0.03083999710689367,0.05237001677404729,0.0001244744853480806,0.011824774066791843,0.32231700487636666,Classical
LogisticRegression,0.8771534465411387,0.5728439376728865,0.08302490548875063,0.022667664575542402,0.1800101945458361,0.7881297446514838,0.5193017006362646,0.09680717446598898,0.04743214850879938,0.24096996872877563,-0.08902370188965492,-0.053542237036621976,0.013782268977238346,0.024764483933256976,0.06095977418293952,Classical
Random Forest,0.8763860085008521,0.5957955973100574,0.08150518102038722,0.021603310816644194,0.1545552845948519,0.8459627329192546,0.6387441776892869,0.08308269662463272,0.04338886650861503,0.6719126296907227,-0.03042327558159752,0.04294858037922955,0.0015775156042455024,0.021785555691970836,0.5173573450958708,Classical
MLP,0.8682496252643683,0.5456662590995327,0.08571682332766495,0.02711812223018382,0.1508163632743648,0.7958592132505177,0.5284501641706343,0.09805902392373796,0.034766990328280616,0.18260294942361407,-0.07239041201385066,-0.017216094928898418,0.012342200596073008,0.007648868098096794,0.031786586149249285,Classical
LSTM,0.885212829305353,0.6089829000074835,0.07836115529816474,0.014965645784595107,0.08251604567403381,0.8422360248447206,0.5663121628947935,0.09333873400005323,0.047061568965042426,0.2341552972793579,-0.042976804460632456,-0.04267073711268998,0.014977578701888483,0.03209592318044732,0.1516392516053241,Deep
LSTM_DS,0.8832313504856164,0.6111279968213507,0.07765845310862395,0.013162791760717205,0.06136820713678992,0.8462387853692201,0.5368193979384863,0.09134056134562503,0.04957394010949232,0.5439982414245605,-0.03699256511639626,-0.07430859888286434,0.013682108237001084,0.03641114834877512,0.4826300342877706,Deep
ChannelwiseLSTM,0.8801076979938811,0.6127151601854488,0.07908716019599943,0.012573117409730885,0.10369293689727782,0.8576949620427881,0.6306045291827362,0.08256034333316249,0.029078443311462716,0.26688963174819946,-0.022412735951093055,0.017889368997287436,0.0034731831371630634,0.01650532590173183,0.16319669485092164,Deep
ChannelwiseLSTM_DS,0.8886265169093038,0.6118687833233697,0.0778345690993405,0.01315313162319997,0.09671473503112793,0.8432022084195997,0.6180750199544538,0.08409177723809902,0.04659571893482415,0.3401753306388855,-0.045424308489704135,0.0062062366310841055,0.006257208138758519,0.03344258731162418,0.24346059560775757,Deep
