Model,AUROC_drop,AUPRC_drop,Brier_drop,ECE_drop,MCE_drop,Shift
LSTM,-0.018677370871366228,-0.07454305468183708,0.014215413778208216,0.039032616558664995,0.1873796614565591,0.049858056
LSTM_DS,-0.012216356904578674,-0.033849988996150215,0.009249419849116314,0.030687809821345932,0.11446758567309767,0.040632796
ChannelwiseLSTM,-0.0046613237288755105,-0.014916557620982873,0.004070003937324623,0.02530352866996245,0.06243175087553082,0.02948036
ChannelwiseLSTM_DS,-0.004005484988452657,-0.030899650258931266,0.005677664285551012,0.024604818592178494,0.04622395303514265,0.031447615
