Model,Reference_AUROC,Reference_AUPRC,Reference_Brier,Reference_ECE,Reference_MCE,HighFiO2_AUROC,HighFiO2_AUPRC,HighFiO2_Brier,HighFiO2_ECE,HighFiO2_MCE,Delta_AUROC,Delta_AUPRC,Delta_Brier,Delta_ECE,Delta_MCE
XGBoost,0.8729514935598794,0.6955932988474097,0.0955312739721228,0.044802560052629094,0.27104938754179386,0.8914608949577132,0.6565732828962532,0.0906840408209184,0.02781990871395777,0.1688284270232273,0.018509401397833747,-0.03902001595115656,-0.004847233151204403,-0.016982651338671325,-0.10222096051856655
LogisticRegression,0.8467525349410798,0.5708655482026903,0.1090924791147289,0.042656243076258475,0.18244432898789936,0.8591649142783679,0.5563490990987782,0.1014126442781564,0.023604725546116735,0.17280417517556612,0.012412379337288115,-0.014516449103912143,-0.007679834836572502,-0.01905151753014174,-0.009640153812333241
Random Forest,0.8767059468347492,0.6891465943486733,0.09347296102033908,0.03600246148133122,0.2267201489028774,0.8684818042406266,0.5937921101331589,0.09784811566026053,0.028733608190942825,0.24861967941970875,-0.00822414259412263,-0.0953544842155144,0.004375154639921441,-0.007268853290388393,0.021899530516831356
MLP,0.859523157029323,0.6275482166010131,0.10630359179774354,0.048209113127936444,0.30438155617337903,0.8557231930504413,0.5631219605024926,0.10321807662013642,0.030971193774949522,0.21181898206953417,-0.0037999639788817152,-0.06442625609852048,-0.0030855151776071205,-0.017237919352986922,-0.09256257410384486
