Model,Reference_AUROC,Reference_AUPRC,Reference_Brier,Reference_ECE,Reference_MCE,HighFiO2_AUROC,HighFiO2_AUPRC,HighFiO2_Brier,HighFiO2_ECE,HighFiO2_MCE,Delta_AUROC,Delta_AUPRC,Delta_Brier,Delta_ECE,Delta_MCE,Family
XGBoost,0.8729514935598794,0.6955932988474097,0.0955312739721228,0.044802560052629094,0.27104938754179386,0.8914608949577132,0.6565732828962532,0.0906840408209184,0.02781990871395777,0.1688284270232273,0.018509401397833747,-0.03902001595115656,-0.004847233151204403,-0.016982651338671325,-0.10222096051856655,Classical
LogisticRegression,0.8467525349410798,0.5708655482026903,0.1090924791147289,0.042656243076258475,0.18244432898789936,0.8591649142783679,0.5563490990987782,0.1014126442781564,0.023604725546116735,0.17280417517556612,0.012412379337288115,-0.014516449103912143,-0.007679834836572502,-0.01905151753014174,-0.009640153812333241,Classical
Random Forest,0.8767059468347492,0.6891465943486733,0.09347296102033908,0.03600246148133122,0.2267201489028774,0.8684818042406266,0.5937921101331589,0.09784811566026053,0.028733608190942825,0.24861967941970875,-0.00822414259412263,-0.0953544842155144,0.004375154639921441,-0.007268853290388393,0.021899530516831356,Classical
MLP,0.859523157029323,0.6275482166010131,0.10630359179774354,0.048209113127936444,0.30438155617337903,0.8557231930504413,0.5631219605024926,0.10321807662013642,0.030971193774949522,0.21181898206953417,-0.0037999639788817152,-0.06442625609852048,-0.0030855151776071205,-0.017237919352986922,-0.09256257410384486,Classical
LSTM,1.0,1.0,0.03806582434342533,0.1091136984527111,0.58067587018013,0.8735947988503108,0.6129046692748333,0.09387246010753966,0.0167128361288398,0.12972254348251056,-0.12640520114968923,-0.38709533072516666,0.055806635764114335,-0.09240086232387129,-0.45095332669761945,Deep
LSTM_DS,1.0,1.0,0.03476739323015236,0.10800028406083584,0.5441751778125763,0.8772991487525139,0.6161492053521531,0.09245150871822722,0.01991022448055446,0.0708341312408447,-0.12270085124748609,-0.3838507946478469,0.05768411548807485,-0.08809005958028138,-0.4733410465717316,Deep
ChannelwiseLSTM,1.0,1.0,0.042888382914343916,0.13346564695239066,0.592674195766449,0.8765351380637103,0.6220719792921633,0.09323505724168582,0.028001343400495485,0.11941907235554289,-0.1234648619362897,-0.3779280207078367,0.050346674327341905,-0.10546430355189518,-0.4732551234109061,Deep
ChannelwiseLSTM_DS,1.0,1.0,0.043680413776100976,0.11956327743828297,0.5848740041255951,0.8761053820512585,0.6178751021151405,0.09325291219041824,0.018644040519927414,0.1646891957835147,-0.12389461794874146,-0.3821248978848595,0.04957249841431727,-0.10091923691835555,-0.4201848083420804,Deep
