Model,Severity,Spearman_Rho,P_Value,Top10_Overlap,Top10_Overlap_Fraction
XGBoost,Moderate,0.9945377628468334,1.7668117932909924e-185,10,1.0
LogisticRegression,Moderate,0.9985890510360398,1.5844436788128702e-199,9,0.9
Random Forest,Moderate,0.9947617270125669,3.561199180691258e-187,9,0.9
MLP,Moderate,0.9244334239854957,3.201284607116374e-80,9,0.9
LSTM,Moderate,0.9992674986435159,5.0287687120703606e-135,9,0.9
LSTM_DS,Moderate,0.9994709712425393,1.1507531754500692e-141,8,0.8
ChannelwiseLSTM,Moderate,0.9973005968529571,2.022069399566008e-108,9,0.9
ChannelwiseLSTM_DS,Moderate,0.9972327726532826,6.4811951284788304e-108,8,0.8
