Feature,Mean_Abs_SHAP_Reference,Rank_Reference,Mean_Abs_SHAP_Perturbed,Rank_Perturbed,SHAP_Change,Absolute_SHAP_Change,Rank_Change
Platelets_full_min,0.017936205,97,0.016458722,99,-0.0014774837,0.0014774837,2
Platelets_full_max,0.04607687,39,0.0475434,36,0.0014665276,0.0014665276,-3
Weight_full_min,0.034856316,52,0.036289655,51,0.001433339,0.001433339,-1
Glucose_last10%_min,0.047559552,37,0.04895294,35,0.001393389,0.001393389,-2
Glucose_full_min,0.032266334,56,0.033617035,59,0.0013507009,0.0013507009,3
Diastolic blood pressure_full_min,0.02224005,81,0.02093684,86,-0.0013032109,0.0013032109,5
Diastolic blood pressure_last10%_min,0.02868764,67,0.029975878,65,0.0012882389,0.0012882389,-2
ICU_Neuro Intermediate,0.022958709,78,0.02170093,82,-0.0012577791,0.0012577791,4
Heart Rate_last10%_std,0.009593522,136,0.010845527,129,0.0012520049,0.0012520049,-7
Creatinine_full_std,0.027552899,68,0.026315866,74,-0.0012370329,0.0012370329,6
Oxygen saturation_last25%_min,0.053695172,29,0.05247615,30,-0.001219023,0.001219023,1
Glucose_last25%_mean,0.011234292,122,0.010074142,133,-0.0011601495,0.0011601495,11
Potassium_full_std,0.0094159255,138,0.010570649,130,0.0011547236,0.0011547236,-8
Fraction inspired oxygen_full_min,0.021225024,82,0.022333637,80,0.0011086129,0.0011086129,-2
Systolic blood pressure_last25%_max,0.010615902,130,0.009526408,138,-0.0010894937,0.0010894937,8
Systolic blood pressure_last10%_min,0.011119998,124,0.010041648,134,-0.0010783505,0.0010783505,10
Glascow coma scale verbal response_full_mean,0.035359703,49,0.034287717,55,-0.0010719858,0.0010719858,6
Platelets_last25%_std,0.013841585,111,0.012773002,114,-0.0010685837,0.0010685837,3
Diastolic blood pressure_full_mean,0.014987596,106,0.015999192,100,0.0010115961,0.0010115961,-6
Hemoglobin_full_std,0.038806196,46,0.037828006,46,-0.0009781905,0.0009781905,0
Prothrombin time_last10%_min,0.07609183,10,0.07513422,13,-0.0009576157,0.0009576157,3
White blood cell count_last25%_std,0.012874098,115,0.011937083,120,-0.0009370148,0.0009370148,5
ICU_Neuro Surgical Intensive Care Unit (Neuro SICU),0.03360458,54,0.03266881,61,-0.0009357706,0.0009357706,7
Hematocrit_full_min,0.010096591,132,0.011008192,128,0.0009116009,0.0009116009,-4
