epoch;loss;train_acc;train_auprc;train_auroc;train_minpse;train_prec0;train_prec1;train_rec0;train_rec1;val_acc;val_auprc;val_auroc;val_loss;val_minpse;val_prec0;val_prec1;val_rec0;val_rec1
0;0.333809494972229;0.8753477;0.4949416447518845;0.8461879168723478;0.5051083977074508;0.911456;0.5563709;0.94777966;0.41564915;0.8888191;0.5234497343143253;0.8610479525862069;0.27903276681900024;0.5037406483790524;0.9155267;0.5884615;0.9615661;0.3825
1;0.3130248188972473;0.88135135;0.5276635448415996;0.8531691346247707;0.5135808621978569;0.8880568;0.7195226;0.98708236;0.21031646;0.89353013;0.5642430581836315;0.8664538433908046;0.2715121805667877;0.5223880597014925;0.89730257;0.78504676;0.9917385;0.21
2;0.30815550684928894;0.88192797;0.5332197932607582;0.858096879515128;0.51457762272614;0.8915242;0.689729;0.9829204;0.24096686;0.8951005;0.5660387114858286;0.869769216954023;0.267450749874115;0.5307125307125307;0.8998042;0.775;0.9903017;0.2325
3;0.3055693805217743;0.8804355;0.5394654407326518;0.8593878221587685;0.5179372197309418;0.8848474;0.75102884;0.99049824;0.1819088;0.8932161;0.5673446452792102;0.8696282327586207;0.2697523534297943;0.515;0.8939394;0.86585367;0.99604887;0.1775
4;0.3037906587123871;0.8830473;0.5367164854797151;0.8619921276112557;0.5215549464241216;0.9029755;0.63084763;0.9687071;0.33939695;0.8951005;0.562346419329331;0.8702999281609196;0.26512905955314636;0.513715710723192;0.90806127;0.6813187;0.9791667;0.31
5;0.3010142147541046;0.88321686;0.542692901407449;0.8630750465400656;0.5183063511830636;0.9037023;0.6294278;0.9679611;0.34537753;0.8966709;0.5685088953815534;0.8674371408045977;0.26370885968208313;0.5206812652068127;0.91012365;0.68586385;0.9784483;0.3275
6;0.3008583188056946;0.8845397;0.5441179795258742;0.8638821480273529;0.5240468477448293;0.89783996;0.6739006;0.9775806;0.29404435;0.8960427;0.5703766506385175;0.8705334051724138;0.2612920105457306;0.5235732009925558;0.90465194;0.7254902;0.98491377;0.2775
7;0.29949167370796204;0.88515025;0.5472330654959566;0.8641746423929838;0.5250436082731124;0.8974479;0.68430334;0.9789156;0.2900573;0.8982412;0.5724343615717862;0.870007183908046;0.26253411173820496;0.5112219451371571;0.9072848;0.73170733;0.9841954;0.3
8;0.29875823855400085;0.8842344;0.5456389930690801;0.8645667775888402;0.5208073760279093;0.8943642;0.69762844;0.9819781;0.26389235;0.8960427;0.5742904867002704;0.8741091954022989;0.25973057746887207;0.5256723716381418;0.90279144;0.74820143;0.9874282;0.26
9;0.2974136173725128;0.8858626;0.5542467375738358;0.8680864353284587;0.5226593625498008;0.9005219;0.6716102;0.9756567;0.31597307;0.897299;0.5813113160717059;0.8757902298850575;0.2574269473552704;0.5361596009975063;0.90773314;0.7134503;0.9823994;0.305
10;0.2951209545135498;0.88542163;0.5548572748251075;0.8682112505357628;0.5262895589334662;0.90565205;0.6409232;0.9682359;0.35983056;0.897299;0.5696216069770159;0.874847341954023;0.2579086720943451;0.5321782178217822;0.9118337;0.68159205;0.9770115;0.3425
11;0.29755377769470215;0.884438;0.5553376318055531;0.8683243199833766;0.5246513944223108;0.89180934;0.72816265;0.9858259;0.24096686;0.89572865;0.5673815479437057;0.874172952586207;0.2614486813545227;0.54;0.9003919;0.77868855;0.9903017;0.2375
12;0.2982615828514099;0.88375956;0.5567897809510945;0.8685238707053778;0.5300274109145278;0.8901515;0.7374392;0.98727864;0.22676302;0.89572865;0.5767054322549302;0.8736233836206897;0.26134270429611206;0.5348258706467661;0.89908856;0.8035714;0.9920977;0.225
13;0.2943011224269867;0.886948;0.554497312648883;0.8674406778229892;0.5255038566807664;0.9028536;0.6693227;0.9739291;0.33491153;0.8982412;0.5738482798938962;0.874705459770115;0.2609718441963196;0.54;0.90918165;0.71348315;0.98168105;0.3175
14;0.29570335149765015;0.8859304;0.5577449984920307;0.8702809013350609;0.5285322701221031;0.89613646;0.7056962;0.9817425;0.277847;0.8951005;0.5793217280405561;0.8759967672413793;0.2601252496242523;0.5475;0.9021668;0.73913044;0.98706895;0.255
15;0.29461967945098877;0.8875585;0.5625516049573286;0.8717100829113658;0.5316392625809666;0.9044177;0.666826;0.9726334;0.34762025;0.8966709;0.5794534454860943;0.8757022270114942;0.25746071338653564;0.5396039603960396;0.90848583;0.698324;0.98060346;0.3125
16;0.2931601107120514;0.8866427;0.5604263598836228;0.8704786713588001;0.5280338898579616;0.90326226;0.6638984;0.97298676;0.3386494;0.8960427;0.5811679495497735;0.8760668103448277;0.25639820098876953;0.5325;0.9078816;0.69491524;0.98060346;0.3075
17;0.2950027585029602;0.88732105;0.5649971214744518;0.8729657344636254;0.528649725959143;0.8985137;0.70383483;0.98028976;0.29728383;0.89572865;0.5808411205717463;0.8777146192528735;0.2563813626766205;0.5375;0.904087;0.7266667;0.985273;0.2725
18;0.2913256585597992;0.88711756;0.5621835095874596;0.8726022078486388;0.5290322580645161;0.90301794;0.6701441;0.9739291;0.3361575;0.89792717;0.5830816557829572;0.8755235272988505;0.2582820653915405;0.5425;0.9086075;0.71428573;0.9820402;0.3125
19;0.2932277023792267;0.8869819;0.567037417386212;0.8735290270498535;0.5342636431597308;0.89551544;0.7274549;0.98398054;0.27136806;0.897299;0.5830258356160467;0.8757956178160918;0.2605226933956146;0.5511221945137157;0.90318346;0.76642334;0.9885057;0.2625
20;0.29252299666404724;0.88738894;0.5685053484374067;0.8757027508569195;0.5384998754049339;0.89883673;0.7020408;0.9799364;0.30002493;0.89761305;0.5812556566357183;0.8789385775862069;0.2565399706363678;0.5348258706467661;0.90480894;0.75;0.9867098;0.2775
21;0.29267266392707825;0.88623565;0.5694537027645578;0.8754516968621073;0.5327685023673062;0.8948402;0.7230873;0.98394126;0.26613507;0.89792717;0.5882084468357177;0.8773751795977012;0.25663936138153076;0.5409429280397022;0.90324694;0.7777778;0.98922414;0.2625
22;0.2921065390110016;0.8866088;0.5764284575988657;0.8784091920740101;0.5408570004982561;0.8937571;0.74170274;0.9859437;0.25616744;0.89635676;0.5919941929408042;0.8826185344827585;0.25489214062690735;0.5422885572139303;0.9007185;0.78688526;0.9906609;0.24
23;0.29024821519851685;0.8885761;0.5691026783452742;0.8761301428999595;0.5325193122352355;0.90478796;0.675;0.97345793;0.34986293;0.897299;0.5796765925147902;0.878423132183908;0.25668996572494507;0.545;0.90936357;0.69945353;0.9802443;0.32
24;0.2887488603591919;0.88816905;0.5790798528593089;0.8799454894996187;0.5437328681784201;0.8981754;0.71829265;0.9818603;0.29354596;0.9001256;0.5980925557492813;0.8832992097701149;0.25445428490638733;0.5398009950248757;0.9061265;0.777027;0.98814654;0.2875
25;0.28710466623306274;0.88867784;0.5759412192085176;0.8788964772182112;0.5346287992027903;0.90699637;0.6642697;0.9706702;0.368303;0.89981157;0.5944741548124646;0.8828933189655171;0.2514064610004425;0.54;0.91151917;0.71428573;0.98060346;0.3375
26;0.2877678871154785;0.88789773;0.5818404096795995;0.8804731681206052;0.5465607151725851;0.89814615;0.71480584;0.9815462;0.29354596;0.8985553;0.5979200409344751;0.8846426005747127;0.24979208409786224;0.5396039603960396;0.90490294;0.76551723;0.98778737;0.2775
27;0.2879001796245575;0.8888474;0.5794747682844655;0.8801418212670691;0.5442312484425617;0.90197074;0.69595313;0.9775806;0.3256915;0.9007538;0.6038329329964042;0.8857408405172416;0.24853655695915222;0.5486284289276808;0.90969455;0.74418604;0.9841954;0.32
