Model,Comparison,Spearman_Rho,P_Value,Top10_Overlap,Top10_Overlap_Fraction
XGBoost,Reference (4.0-12.0) vs High (>=12.0),0.9949963561385735,4.959735603663327e-189,9,0.9
LogisticRegression,Reference (4.0-12.0) vs High (>=12.0),0.9848795886851197,6.355976915914112e-120,8,0.8
Random Forest,Reference (4.0-12.0) vs High (>=12.0),0.9724239677207203,3.545664137316737e-120,9,0.9
MLP,Reference (4.0-12.0) vs High (>=12.0),0.8051334008780818,2.706448780793948e-44,9,0.9
LSTM,Reference (4.0-12.0) vs High (>=12.0),0.9881307650569724,2.7802127288269267e-78,8,0.8
LSTM_DS,Reference (4.0-12.0) vs High (>=12.0),0.9887276180141075,2.49354881432619e-79,8,0.8
ChannelwiseLSTM,Reference (4.0-12.0) vs High (>=12.0),0.9930954964731415,2.7177749693616147e-89,8,0.8
ChannelwiseLSTM_DS,Reference (4.0-12.0) vs High (>=12.0),0.9935024416711882,1.578482952065743e-90,8,0.8
