Feature,Reference,HighCreatinine,ReferenceRank,HighRank,SHAP_change
pH,1.3943187093822762e-08,1.7815111034546454e-08,65.0,64.0,3.871923940723692e-09
Glascow coma scale total->14,0.0,0.0,81.0,80.5,0.0
Glascow coma scale total->12,0.0,0.0,81.0,80.5,0.0
Glascow coma scale eye opening->3 To speech,0.0,0.0,81.0,80.5,0.0
Glascow coma scale total->15,0.0,0.0,81.0,80.5,0.0
Glascow coma scale verbal response->2 Incomp sounds,0.0,0.0,81.0,80.5,0.0
Glascow coma scale total->13,0.0,0.0,81.0,80.5,0.0
Glascow coma scale total->10,0.0,0.0,81.0,80.5,0.0
Glascow coma scale total->11,0.0,0.0,81.0,80.5,0.0
Glascow coma scale motor response->2 Abnorm extensn,0.0,0.0,81.0,80.5,0.0
Glascow coma scale motor response->5 Localizes Pain,0.0,0.0,81.0,80.5,0.0
Glascow coma scale motor response->4 Flex-withdraws,0.0,0.0,81.0,80.5,0.0
Capillary refill rate->1.0,0.0,0.0,81.0,80.5,0.0
Capillary refill rate->0.0,0.0,0.0,81.0,80.5,0.0
Glascow coma scale eye opening->1 No Response,0.0,0.0,81.0,80.5,0.0
Glascow coma scale eye opening->None,0.0,0.0,81.0,80.5,0.0
Glascow coma scale eye opening->2 To pain,0.0,0.0,81.0,80.5,0.0
Glascow coma scale motor response->1 No Response,0.0,0.0,81.0,80.5,0.0
Glascow coma scale motor response->3 Abnorm flexion,0.0,0.0,81.0,80.5,0.0
Glascow coma scale verbal response->1 No Response,0.0,0.0,81.0,80.5,0.0
Glascow coma scale total->8,0.0,0.0,81.0,80.5,0.0
Glascow coma scale total->9,0.0,0.0,81.0,80.5,0.0
Glascow coma scale total->6,0.0,0.0,81.0,80.5,0.0
Glascow coma scale verbal response->4 Confused,0.0,0.0,81.0,80.5,0.0
Glascow coma scale verbal response->3 Inapprop words,0.0,0.0,81.0,80.5,0.0
Glascow coma scale total->5,0.0,0.0,81.0,80.5,0.0
Glascow coma scale total->3,0.0,0.0,81.0,80.5,0.0
Glascow coma scale total->7,0.0,0.0,81.0,80.5,0.0
Glascow coma scale total->4,0.0,0.0,81.0,80.5,0.0
mask->Glascow coma scale total,0.0,0.0,81.0,80.5,0.0
Glascow coma scale verbal response->1.0 ET/Trach,0.0,0.0,81.0,80.5,0.0
mask->Capillary refill rate,0.0,0.0,81.0,80.5,0.0
mask->Height,1.7617901054715428e-06,1.3330503376588846e-06,64.0,63.0,-4.287397678126582e-07
Glascow coma scale motor response->Abnormal extension,8.170258943209775e-06,1.935624204634223e-06,63.0,62.0,-6.234634738575551e-06
Height,1.2656555703450441e-05,0.0,60.0,80.5,-1.2656555703450441e-05
