Model,AUROC_drop,AUPRC_drop,Brier_drop,ECE_drop,MCE_drop,Shift
XGBoost,0.0005366994757871613,0.001035866617759007,-0.0002040701408437262,0.0015853864096047332,-0.006227018267535134,0.003231164777360851
LogisticRegression,-0.0003173228490778168,-0.0006325840941897587,8.174427156254493e-05,-0.0013107690353262261,0.03122787417469164,0.0015242407013376792
Random Forest,-0.00024858865794208374,-0.001046240082182348,0.000128011694763272,0.0010418187249916881,-0.005484644332296618,0.0016521332997227803
MLP,-0.0010229938780748071,-0.0021294130830203928,0.00019398400969294904,0.0003728089024563133,-0.013010693060945822,0.001470768375660288
