Model,Reference_AUROC,Reference_AUPRC,Reference_Brier,Reference_ECE,Reference_MCE,HighGlucose_AUROC,HighGlucose_AUPRC,HighGlucose_Brier,HighGlucose_ECE,HighGlucose_MCE,Delta_AUROC,Delta_AUPRC,Delta_Brier,Delta_ECE,Delta_MCE,Family
XGBoost,0.8845035879734763,0.551323178717528,0.06668236203251468,0.021931824634165667,0.19628071433517402,0.8889838266707355,0.6643092069322201,0.0907627342659523,0.013175509968139874,0.12753848269873935,0.00448023869725922,0.11298602821469206,0.02408037223343762,-0.008756314666025793,-0.06874223163643467,Classical
LogisticRegression,0.8458127560703922,0.4239677525150735,0.07359880372296553,0.012652110054852124,0.3697431876328555,0.8628166005492828,0.5959691313389661,0.10213884350849516,0.04550844339308595,0.28739493680261496,0.017003844478890584,0.1720013788238926,0.02854003978552963,0.032856333338233824,-0.08234825083024055,Classical
Random Forest,0.8644028091848297,0.46192111610091857,0.06954468653527192,0.014159144846122938,0.3643433818246553,0.8667836435764418,0.6394049681775984,0.09891414881461383,0.037162154247479026,0.28316318506141896,0.0023808343916120744,0.17748385207667983,0.02936946227934191,0.02300300940135609,-0.08118019676323635,Classical
MLP,0.859655497176951,0.4857827757549317,0.07056708096016481,0.026484325415413842,0.14156634899886,0.8543027158986878,0.565692344627062,0.1054878383088318,0.044273001695158756,0.20172485930946588,-0.005352781278263219,0.0799095688721303,0.03492075734866698,0.017788676279744915,0.06015851031060587,Classical
LSTM,0.8755276783110469,0.49693840972053427,0.06695959174056154,0.010162655129910185,0.18268384536107385,0.870933780897162,0.6615236148104033,0.09349682322866003,0.03412655321949555,0.23001134854096633,-0.00459389741388494,0.16458520508986907,0.026537231488098487,0.023963898089585364,0.04732750317989248,Deep
LSTM_DS,0.8728121967194304,0.48778120408812814,0.06815988345582265,0.013612977932889327,0.1815432874779952,0.8707812023191943,0.6604835475860984,0.09394726937222915,0.03839070023353404,0.17261868715286255,-0.00203099440023613,0.17270234349797026,0.025787385916406502,0.024777722300644713,-0.008924600325132648,Deep
ChannelwiseLSTM,0.866441810767267,0.48021876589631013,0.0694402764177148,0.01484309463898155,0.19845410585403445,0.870155630149527,0.6472722663553551,0.09369600987958149,0.027250219144682,0.1521175503730774,0.0037138193822600085,0.16705350045904493,0.024255733461866685,0.012407124505700452,-0.04633655548095705,Deep
ChannelwiseLSTM_DS,0.8713875250393218,0.4818385845686021,0.06913824192035901,0.010946916853839063,0.2432978391647339,0.8769301190112907,0.6535797746718537,0.09312552299766841,0.03338196149667542,0.21406417001377454,0.005542593971968879,0.17174119010325156,0.023987281077309394,0.022435044642836355,-0.029233669150959374,Deep
