Model,Reference_AUROC,Reference_AUPRC,Reference_Brier,Reference_ECE,Reference_MCE,HighGlucose_AUROC,HighGlucose_AUPRC,HighGlucose_Brier,HighGlucose_ECE,HighGlucose_MCE,Delta_AUROC,Delta_AUPRC,Delta_Brier,Delta_ECE,Delta_MCE
XGBoost,0.8845035879734763,0.551323178717528,0.06668236203251468,0.021931824634165667,0.19628071433517402,0.8889838266707355,0.6643092069322201,0.0907627342659523,0.013175509968139874,0.12753848269873935,0.00448023869725922,0.11298602821469206,0.02408037223343762,-0.008756314666025793,-0.06874223163643467
LogisticRegression,0.8458127560703922,0.4239677525150735,0.07359880372296553,0.012652110054852124,0.3697431876328555,0.8628166005492828,0.5959691313389661,0.10213884350849516,0.04550844339308595,0.28739493680261496,0.017003844478890584,0.1720013788238926,0.02854003978552963,0.032856333338233824,-0.08234825083024055
Random Forest,0.8644028091848297,0.46192111610091857,0.06954468653527192,0.014159144846122938,0.3643433818246553,0.8667836435764418,0.6394049681775984,0.09891414881461383,0.037162154247479026,0.28316318506141896,0.0023808343916120744,0.17748385207667983,0.02936946227934191,0.02300300940135609,-0.08118019676323635
MLP,0.859655497176951,0.4857827757549317,0.07056708096016481,0.026484325415413842,0.14156634899886,0.8543027158986878,0.565692344627062,0.1054878383088318,0.044273001695158756,0.20172485930946588,-0.005352781278263219,0.0799095688721303,0.03492075734866698,0.017788676279744915,0.06015851031060587
