Feature,Reference,HighWeight,ReferenceRank,HighRank,SHAP_change
Weight_full_min,0.0008941903418201045,0.009805867265900593,85.0,2.0,0.008911676924080488
Weight_full_mean,0.0006953584306370939,0.007962925041975974,141.0,3.0,0.00726756661133888
Fraction inspired oxygen_full_max,0.000739363205936872,0.002240463644834873,129.0,16.0,0.0015011004388980008
Creatinine_last10%_min,0.0031575494221885822,0.004553885133422616,9.0,5.0,0.0013963357112340342
Systolic blood pressure_last10%_std,0.0005383574471746169,0.0018210650346161077,175.0,27.0,0.0012827075874414908
Glascow coma scale eye opening_full_mean,0.0006837199516145036,0.0019051134580617152,143.0,24.0,0.0012213935064472117
Glascow coma scale eye opening_last10%_min,0.0012218307153888668,0.0024001603460401064,42.0,14.0,0.0011783296306512397
Hematocrit_full_min,0.0009136274407522301,0.0020822717407363222,81.0,19.0,0.0011686442999840922
Glucose_full_mean,0.0006401616678969981,0.0016974964595637225,155.0,30.0,0.0010573347916667244
Glucose_last10%_std,0.0005029533046207442,0.001439958051961882,180.0,43.0,0.0009370047473411377
Weight_last10%_std,0.0006570489569296706,0.0015798536364827153,150.0,36.0,0.0009228046795530446
Potassium_last25%_min,0.0008117140277263688,0.0016954275106236673,110.0,31.0,0.0008837134828972985
Temperature_last10%_max,0.0005595738447814922,0.0014148315804258943,172.0,46.0,0.0008552577356444021
Prothrombin time_full_min,0.0007684240843163268,0.0015512010022200012,123.0,39.0,0.0007827769179036744
Glascow coma scale motor response_full_max,0.0016109625596163542,0.0023681816082205833,20.0,15.0,0.0007572190486042291
Lactate_last25%_min,0.0014209095357147036,0.002132128138728864,27.0,17.0,0.0007112186030141603
Sodium_last10%_std,0.000511640326141904,0.0012227796856042457,179.0,62.0,0.0007111393594623417
Diastolic blood pressure_last25%_max,0.0007456605738843932,0.0014394329834695621,126.0,44.0,0.0006937724095851689
Heart Rate_full_mean,0.0013783666221397575,0.0020697263349336863,30.0,20.0,0.0006913597127939288
Oxygen saturation_last10%_max,0.0005919405111112956,0.0012828190000447684,167.0,54.0,0.0006908784889334727
Systolic blood pressure_last10%_mean,0.0009921321900106148,0.001672397215373946,70.0,33.0,0.0006802650253633312
Temperature_full_max,0.000669802731240977,0.0013439215024990965,146.0,50.0,0.0006741187712581195
pH_last10%_max,0.0006032240767884801,0.0012347296963177452,165.0,60.0,0.0006315056195292651
