Feature,Reference,HighWeight,ReferenceRank,HighRank
Systolic blood pressure_last25%_mean,0.0009310583283434117,0.0003337170477280561,76.0,176.0
Platelets_full_std,0.0009226739655458478,0.0004728539929901455,77.0,152.0
Heart Rate_last25%_max,0.0009158313207226124,0.00042941809582773045,78.0,158.0
Systolic blood pressure_last25%_std,0.0009146782793263974,0.0003415604982441042,79.0,175.0
Platelets_last25%_std,0.0009146170039099739,0.001117639244666115,80.0,73.0
Hematocrit_full_min,0.0009136274407522301,0.0020822717407363222,81.0,19.0
Creatinine_full_min,0.0009128509576817836,0.0005223619989861362,82.0,149.0
Potassium_full_max,0.0009073673701852705,0.001376193465093689,83.0,49.0
ICU_Trauma SICU (TSICU),0.0009049030751476252,0.0003483455667806495,84.0,173.0
Weight_full_min,0.0008941903418201045,0.009805867265900593,85.0,2.0
Heart Rate_last25%_std,0.0008907604959535639,0.000610569553230334,86.0,139.0
Oxygen saturation_last25%_max,0.0008893873868671646,0.0003716986738377379,87.0,171.0
Creatinine_full_max,0.0008822971627427108,0.0012149479185758674,88.0,66.0
White blood cell count_last10%_std,0.0008745988966829173,0.0004133058093836488,89.0,164.0
Systolic blood pressure_last10%_max,0.000872047432528774,0.0009621142031657252,90.0,90.0
Lactate_last25%_max,0.0008667985065552263,0.0007369054521222793,91.0,117.0
Glucose_last10%_min,0.0008604723854536035,0.00014219619165266626,92.0,183.0
Platelets_full_min,0.0008597212937969718,0.0004258959874981086,93.0,159.0
Systolic blood pressure_full_min,0.0008528350413573384,0.0007437324368816816,94.0,116.0
Glascow coma scale verbal response_last10%_std,0.0008525584601668104,0.0011421332668781587,95.0,71.0
Sodium_last25%_std,0.0008509063900912249,0.001025863442562694,96.0,81.0
Glascow coma scale verbal response_last25%_std,0.0008455584934684497,0.0010133282622979151,97.0,82.0
ICU_Coronary Care Unit (CCU),0.0008336245556205174,0.0007971189533467313,98.0,107.0
Glascow coma scale eye opening_last10%_max,0.0008326265147610256,0.0001767560638522956,99.0,182.0
Diastolic blood pressure_last10%_max,0.0008297235657690692,0.00044541485851625493,100.0,155.0
Glucose_last25%_mean,0.0008274994413799408,0.0007075285535538157,101.0,119.0
Potassium_last25%_max,0.0008250923885673735,0.0006660533320557993,102.0,130.0
Glascow coma scale motor response_full_min,0.0008208914001000831,0.0008498047852214208,103.0,99.0
Glascow coma scale motor response_last25%_std,0.0008203932220667983,0.0008173197314450196,104.0,104.0
Glascow coma scale eye opening_full_min,0.0008165966130293428,0.000403911937688955,105.0,165.0
Glascow coma scale eye opening_last25%_std,0.0008148383875997339,0.0012530900509572724,106.0,57.0
Heart Rate_last10%_mean,0.0008137712598356376,0.0011122163996674249,107.0,74.0
Lactate_last25%_std,0.0008133573354834456,0.0010040910545476979,108.0,84.0
Mean blood pressure_last25%_min,0.0008117731987067185,0.00041717795618777866,109.0,163.0
Potassium_last25%_min,0.0008117140277263688,0.0016954275106236673,110.0,31.0
Diastolic blood pressure_full_max,0.000811653588380684,0.0006237297545304246,111.0,136.0
Heart Rate_last25%_min,0.0008108650852993532,0.0009166859844937564,112.0,95.0
Fraction inspired oxygen_last25%_max,0.0008090544745748313,0.0008439269164437468,113.0,100.0
Lactate_full_max,0.0008042302168038001,0.0006514164387117735,114.0,132.0
White blood cell count_full_max,0.0007986379699120271,0.001109639810137576,115.0,75.0
Sodium_full_mean,0.0007978532157716928,0.0011911213423318502,116.0,68.0
Bilirubin_full_std,0.0007969712636066241,0.001030710067051045,117.0,79.0
Glascow coma scale eye opening_full_max,0.0007905871933098229,0.0007601170046086874,118.0,114.0
pH_full_min,0.0007903172249353635,0.00042534069615714784,119.0,160.0
Potassium_full_mean,0.0007835698393462217,0.0013274171010976262,120.0,51.0
Glascow coma scale eye opening_last10%_std,0.000780008109608976,0.0007737669612194023,121.0,110.0
Systolic blood pressure_full_max,0.0007746869593155006,0.0008757626790492898,122.0,97.0
Prothrombin time_full_min,0.0007684240843163268,0.0015512010022200012,123.0,39.0
Glucose_last25%_max,0.0007683872962037447,0.001319048886250019,124.0,52.0
Hematocrit_full_std,0.00076472232004896,0.0012153444339656613,125.0,65.0
Diastolic blood pressure_last25%_max,0.0007456605738843932,0.0014394329834695621,126.0,44.0
Lactate_full_std,0.0007453195689959143,0.0005800109104149799,127.0,141.0
Mean blood pressure_last10%_max,0.0007433243677626468,0.0005657005619339633,128.0,143.0
Fraction inspired oxygen_full_max,0.000739363205936872,0.002240463644834873,129.0,16.0
Creatinine_full_std,0.0007357360499571732,0.0006242065735058695,130.0,135.0
Respiratory rate_last25%_min,0.0007351769046134039,0.0011805790134810806,131.0,69.0
Systolic blood pressure_last25%_max,0.0007349181782861199,0.0005540745559124225,132.0,144.0
Prothrombin time_full_std,0.000733985413144487,0.0010575887584976702,133.0,77.0
Heart Rate_last10%_max,0.0007311296068443424,0.00032067672023776953,134.0,177.0
Respiratory rate_last10%_max,0.0007284648779700121,0.0006805826051132258,135.0,126.0
pH_last10%_std,0.0007244680551921903,0.00030616745840140406,136.0,178.0
Weight_full_max,0.0007111083005237781,0.0012665180289706886,137.0,55.0
Hemoglobin_last25%_std,0.0007109797173231849,0.0004239654405505806,138.0,161.0
Glucose_full_max,0.0006985864048302021,0.0008748795076830805,139.0,98.0
Glascow coma scale eye opening_last25%_max,0.0006984073129014632,0.0006679758240080335,140.0,128.0
Weight_full_mean,0.0006953584306370939,0.007962925041975974,141.0,3.0
Diastolic blood pressure_last25%_mean,0.0006869767818239836,0.0005174085517813366,142.0,150.0
Glascow coma scale eye opening_full_mean,0.0006837199516145036,0.0019051134580617152,143.0,24.0
Fraction inspired oxygen_last10%_min,0.0006818698137596024,0.0007625522531439804,144.0,113.0
Hematocrit_full_mean,0.0006793393992713884,0.0006466027305969169,145.0,133.0
Temperature_full_max,0.000669802731240977,0.0013439215024990965,146.0,50.0
Glucose_last10%_mean,0.0006688091195740145,0.0007649064901954541,147.0,111.0
pH_last25%_std,0.0006683909183942682,0.00039746501604319775,148.0,166.0
pH_full_mean,0.000660161528575337,0.00035364807575359537,149.0,172.0
Weight_last10%_std,0.0006570489569296706,0.0015798536364827153,150.0,36.0
pH_last10%_mean,0.0006481926842964312,0.00023857796532401608,151.0,181.0
Platelets_last10%_std,0.0006461559136502382,0.0006518530499828413,152.0,131.0
Fraction inspired oxygen_full_min,0.000642971984899347,0.0012189112930287066,153.0,64.0
Heart Rate_last10%_min,0.0006427600483230686,0.0004385460804464561,154.0,157.0
Glucose_full_mean,0.0006401616678969981,0.0016974964595637225,155.0,30.0
Temperature_last25%_max,0.0006352866682765376,0.0009249146982655474,156.0,93.0
Glascow coma scale verbal response_full_min,0.0006343391911760005,0.0009811842657972598,157.0,86.0
Glascow coma scale motor response_full_mean,0.0006321560474462477,0.001033235403726466,158.0,78.0
Hematocrit_last25%_std,0.0006279064300566435,0.0007314632539747686,159.0,118.0
Glucose_last25%_std,0.0006183844268544692,0.0009335135347291906,160.0,92.0
Respiratory rate_full_max,0.0006126257338279642,0.0009778694949381737,161.0,87.0
Height_full_min,0.0006122604643184647,0.001201843823846761,162.0,67.0
Potassium_full_std,0.0006086366245717569,0.0010055101943648782,163.0,83.0
Weight_last25%_std,0.0006040764602675714,0.0006960866877610433,164.0,124.0
pH_last10%_max,0.0006032240767884801,0.0012347296963177452,165.0,60.0
pH_last25%_min,0.0006031967979515356,0.000826661275259112,166.0,103.0
Oxygen saturation_last10%_max,0.0005919405111112956,0.0012828190000447684,167.0,54.0
Respiratory rate_last10%_min,0.0005894487024367327,0.0008151842598499713,168.0,105.0
ICU_Medical Intensive Care Unit (MICU),0.0005752649796350914,0.0005812528472316821,169.0,140.0
Respiratory rate_full_min,0.0005681313500340455,0.00046669602414626616,170.0,153.0
Heart Rate_full_max,0.0005676782973397554,0.000992320660079708,171.0,85.0
Temperature_last10%_max,0.0005595738447814922,0.0014148315804258943,172.0,46.0
Mean blood pressure_full_min,0.0005586913269731826,0.0005474613957235836,173.0,147.0
Respiratory rate_last25%_max,0.0005421152159302613,0.0003942975250068932,174.0,167.0
Systolic blood pressure_last10%_std,0.0005383574471746169,0.0018210650346161077,175.0,27.0
Hematocrit_full_max,0.0005353422685708662,0.00039365795619419804,176.0,168.0
pH_full_max,0.0005269020526199194,0.0004452676863067945,177.0,156.0
Glascow coma scale verbal response_full_max,0.000522966573606076,0.0005500036309234287,178.0,146.0
Sodium_last10%_std,0.000511640326141904,0.0012227796856042457,179.0,62.0
Glucose_last10%_std,0.0005029533046207442,0.001439958051961882,180.0,43.0
pH_full_std,0.0004846932970956131,0.000551611343129695,181.0,145.0
ICU_Neuro Stepdown,0.00045012804118935217,0.00041804511736949707,182.0,162.0
Glucose_last10%_max,0.00035157525087350087,0.0003840844883816105,183.0,169.0
ICU_Medicine,0.0,0.0,186.5,186.5
ICU_Intensive Care Unit (ICU),0.0,0.0,186.5,186.5
ICU_PACU,0.0,0.0,186.5,186.5
ICU_Neurology,0.0,0.0,186.5,186.5
ICU_Surgery/Vascular/Intermediate,0.0,0.0,186.5,186.5
ICU_Surgery/Trauma,0.0,0.0,186.5,186.5
