Feature,Reference,HighWeight,ReferenceRank,HighRank
Temperature,0.0004905885197292322,0.00038894297994907233,1.0,11.0
Glascow coma scale verbal response->Oriented,0.00047236901502603363,0.00046957274599836385,2.0,3.0
Creatinine,0.0004496642622288205,0.0005176959507765933,3.0,2.0
White blood cell count,0.00042679849845857226,0.00038834246145869647,4.0,12.0
mask->Fraction inspired oxygen,0.00042212767130692997,0.0004122469581065527,5.0,7.0
Fraction inspired oxygen,0.00039119055710865286,0.0004521049957341938,6.0,4.0
Glascow coma scale verbal response->No Response-ETT,0.00038657812772919576,0.0004450094072031445,7.0,5.0
Heart Rate,0.00035545026961507754,0.00025658351645413776,8.0,16.0
Glascow coma scale motor response->Obeys Commands,0.00035355172844821295,0.0003959916015008473,9.0,10.0
Bilirubin,0.00035177311630974883,0.0004120927565169822,10.0,8.0
Lactate,0.0003401773316923351,0.00039761500416983113,11.0,9.0
Glascow coma scale motor response->No response,0.0003207021840021018,0.0004184526875494559,12.0,6.0
Diastolic blood pressure,0.0003154695836341263,0.0003186693294608197,13.0,13.0
Systolic blood pressure,0.0002871670817258979,0.0002770411135830416,14.0,14.0
Potassium,0.00027637975529399373,0.0002695058410370786,15.0,15.0
mask->Glucose,0.0002621871903366609,0.0002552798334141082,16.0,17.0
mask->Hematocrit,0.0002591434640566098,0.00024398093759463632,17.0,19.0
Sodium,0.0002578964527991188,0.0002507272281765068,18.0,18.0
Glascow coma scale eye opening->Spontaneously,0.00022977179003295895,0.0002182515658705564,19.0,22.0
mask->Glascow coma scale eye opening,0.00022305398368374863,0.00022580131386842176,20.0,20.0
mask->pH,0.00019789443359178826,0.00020577872008281816,21.0,23.0
Glascow coma scale verbal response->Confused,0.0001861611785788537,0.0001846216089376455,22.0,25.0
mask->Temperature,0.00018127581551222443,0.00022005598424111798,23.0,21.0
Glascow coma scale eye opening->To Speech,0.00018019680928787473,0.0001499875896285093,24.0,30.0
Glascow coma scale eye opening->4 Spontaneously,0.00017982041778598847,0.00016165347626399763,25.0,28.0
Hemoglobin,0.00017944215931365193,0.0001845256488136075,26.0,26.0
Platelets,0.00016445488593931404,0.00020502821479526562,27.0,24.0
Glascow coma scale motor response->Localizes Pain,0.00013596245165124881,0.00010991732676932376,28.0,38.0
Weight,0.00012474048291027755,0.0009528023253252727,29.0,1.0
mask->Glascow coma scale verbal response,0.00012178707478820401,0.00016888305851181265,30.0,27.0
Prothrombin time,0.00012169936923858695,0.00011958247079906874,31.0,35.0
mask->Lactate,0.00011931620243378053,0.00012372033028556505,32.0,34.0
mask->Glascow coma scale motor response,0.00011807289406888707,0.0001477413836350976,33.0,31.0
Hematocrit,0.00010860150841282298,0.00013123343499633658,34.0,32.0
mask->Prothrombin time,0.00010456495978501521,0.00012783064688773476,35.0,33.0
mask->Bilirubin,0.00010139699064377574,0.00011304543473762513,36.0,36.0
mask->White blood cell count,9.831200108616964e-05,8.885266239373112e-05,37.0,41.0
Glascow coma scale verbal response->No Response,9.325604778663701e-05,2.7026523277170674e-05,38.0,56.0
mask->Potassium,9.143928248119988e-05,0.00010084156648545924,39.0,39.0
Glascow coma scale motor response->Flex-withdraws,9.08530708100872e-05,6.557284461695682e-05,40.0,49.0
mask->Hemoglobin,8.974357579422751e-05,8.757044030894413e-05,41.0,42.0
mask->Platelets,8.804294858577615e-05,8.42652723726148e-05,42.0,43.0
mask->Diastolic blood pressure,8.545496833824444e-05,7.261611563159925e-05,43.0,47.0
mask->Weight,8.479937264980663e-05,9.79821484138585e-05,44.0,40.0
mask->Mean blood pressure,8.33373288066198e-05,7.807163533654874e-05,45.0,45.0
mask->Creatinine,8.279545195270787e-05,7.647165321102008e-05,46.0,46.0
Glascow coma scale eye opening->To Pain,8.161267300445172e-05,0.00015020754362391503,47.0,29.0
Mean blood pressure,7.60690142568889e-05,8.210907076805385e-05,48.0,44.0
Oxygen saturation,7.581750967509978e-05,7.186870562455982e-05,49.0,48.0
mask->Sodium,7.421315424379412e-05,0.00011132241330447736,50.0,37.0
mask->Oxygen saturation,7.212999099380511e-05,6.314691045039545e-05,51.0,50.0
mask->Systolic blood pressure,5.951293808828e-05,5.3403543754493726e-05,52.0,52.0
mask->Heart Rate,4.782982944179993e-05,4.5008508029262274e-05,53.0,54.0
mask->Respiratory rate,4.502393246943583e-05,4.5766764994764294e-05,54.0,53.0
Respiratory rate,4.077170556768317e-05,4.4706270634994296e-05,55.0,55.0
Glascow coma scale verbal response->Incomprehensible sounds,2.7330975732880527e-05,1.4542862450674451e-05,56.0,60.0
Glascow coma scale verbal response->5 Oriented,2.3684705269143026e-05,2.644530492144252e-05,57.0,57.0
Glucose,2.162535820615084e-05,1.9901858072253417e-05,58.0,59.0
Glascow coma scale motor response->6 Obeys Commands,1.6105176380786606e-05,2.246354185752402e-05,59.0,58.0
Glascow coma scale verbal response->Inappropriate Words,1.4985836600593637e-05,3.608283784381922e-06,60.0,61.0
Glascow coma scale motor response->Abnormal Flexion,2.4820049278181007e-06,1.8555575934442458e-06,61.0,62.0
Glascow coma scale motor response->Abnormal extension,1.1863033311480346e-06,5.838808264040078e-05,62.0,51.0
pH,2.381404779790856e-08,1.8337067472692112e-08,63.0,65.0
Glascow coma scale eye opening->3 To speech,0.0,0.0,80.0,81.0
Glascow coma scale total->14,0.0,0.0,80.0,81.0
Glascow coma scale total->15,0.0,0.0,80.0,81.0
Glascow coma scale total->12,0.0,0.0,80.0,81.0
Glascow coma scale total->13,0.0,0.0,80.0,81.0
Glascow coma scale total->10,0.0,0.0,80.0,81.0
Glascow coma scale total->11,0.0,0.0,80.0,81.0
Glascow coma scale motor response->2 Abnorm extensn,0.0,0.0,80.0,81.0
Glascow coma scale motor response->5 Localizes Pain,0.0,0.0,80.0,81.0
Glascow coma scale motor response->4 Flex-withdraws,0.0,0.0,80.0,81.0
Capillary refill rate->1.0,0.0,0.0,80.0,81.0
Capillary refill rate->0.0,0.0,0.0,80.0,81.0
Glascow coma scale eye opening->1 No Response,0.0,0.0,80.0,81.0
Glascow coma scale eye opening->None,0.0,0.0,80.0,81.0
Glascow coma scale eye opening->2 To pain,0.0,0.0,80.0,81.0
Glascow coma scale motor response->1 No Response,0.0,0.0,80.0,81.0
Glascow coma scale motor response->3 Abnorm flexion,0.0,0.0,80.0,81.0
Glascow coma scale verbal response->3 Inapprop words,0.0,0.0,80.0,81.0
Glascow coma scale verbal response->2 Incomp sounds,0.0,0.0,80.0,81.0
Glascow coma scale verbal response->4 Confused,0.0,0.0,80.0,81.0
Height,0.0,3.925002920664629e-07,80.0,63.0
Glascow coma scale total->7,0.0,0.0,80.0,81.0
Glascow coma scale total->4,0.0,0.0,80.0,81.0
Glascow coma scale total->5,0.0,0.0,80.0,81.0
Glascow coma scale total->3,0.0,0.0,80.0,81.0
Glascow coma scale verbal response->1 No Response,0.0,0.0,80.0,81.0
Glascow coma scale total->8,0.0,0.0,80.0,81.0
Glascow coma scale total->9,0.0,0.0,80.0,81.0
Glascow coma scale total->6,0.0,0.0,80.0,81.0
Glascow coma scale verbal response->1.0 ET/Trach,0.0,0.0,80.0,81.0
mask->Capillary refill rate,0.0,0.0,80.0,81.0
mask->Glascow coma scale total,0.0,0.0,80.0,81.0
mask->Height,0.0,1.789571858049991e-07,80.0,64.0
