Feature,Reference,HighWeight,ReferenceRank,HighRank,SHAP_change
Oxygen saturation,7.922076514456236e-05,7.157309730300543e-05,48.0,48.0,-7.647667841556935e-06
Glascow coma scale eye opening->Spontaneously,0.00022889788877399896,0.00021870588102368787,19.0,23.0,-1.0192007750311094e-05
Glascow coma scale verbal response->Inappropriate Words,1.5135395378445698e-05,3.866248158607653e-06,60.0,61.0,-1.1269147219838046e-05
mask->Diastolic blood pressure,8.60576698743661e-05,7.453025361734882e-05,43.0,47.0,-1.1527416257017272e-05
mask->Hematocrit,0.00025811781707802393,0.0002443304480013924,18.0,18.0,-1.378736907663153e-05
Glascow coma scale verbal response->Incomprehensible sounds,2.7967987257669915e-05,1.30105809411426e-05,56.0,60.0,-1.4957406316527315e-05
Glascow coma scale eye opening->4 Spontaneously,0.00017291026988103985,0.00015508250252511087,27.0,28.0,-1.782776735592898e-05
Glascow coma scale verbal response->Confused,0.000196720946013762,0.00017624523587458067,22.0,26.0,-2.0475710139181342e-05
Systolic blood pressure,0.00029147153061887497,0.0002706759135342159,14.0,15.0,-2.079561708465908e-05
Glascow coma scale motor response->Localizes Pain,0.00013367928853905928,0.00011171924171950306,28.0,37.0,-2.196004681955622e-05
Sodium,0.00026894377632488215,0.0002438696955355757,16.0,19.0,-2.5074080789306462e-05
Diastolic blood pressure,0.0003347253204508545,0.0003068139742268594,12.0,13.0,-2.7911346223995096e-05
Glascow coma scale eye opening->To Speech,0.00018135689279469432,0.0001488517805548469,23.0,29.0,-3.2505112239847436e-05
Glascow coma scale motor response->Flex-withdraws,9.401508159491796e-05,6.128045043194734e-05,38.0,50.0,-3.273463116297062e-05
White blood cell count,0.0004330118754420309,0.0003994135551788229,4.0,10.0,-3.3598320263208015e-05
Glascow coma scale verbal response->No Response,9.34738726379431e-05,2.5478359093376195e-05,39.0,57.0,-6.79955135445669e-05
Temperature,0.00047024610055578083,0.000388259444143678,1.0,12.0,-8.198665641210283e-05
Heart Rate,0.00035497161407154403,0.0002544233526253377,9.0,17.0,-0.00010054826144620632
