epoch;loss;train_acc;train_auprc;train_auroc;train_minpse;train_prec0;train_prec1;train_rec0;train_rec1;val_acc;val_auprc;val_auroc;val_loss;val_minpse;val_prec0;val_prec1;val_rec0;val_rec1
0;0.31421059370040894;0.8853198;0.5428165047144515;0.8668512226699874;0.5262895589334662;0.9059399;0.6388401;0.96772546;0.36232245;0.89572865;0.5522120126890653;0.8713968211206897;0.26192712783813477;0.5325;0.9086667;0.6847826;0.9791667;0.315
1;0.2946968972682953;0.8874907;0.5789308176024204;0.8776567247575774;0.5497134313481186;0.8937153;0.75777775;0.98716086;0.2549215;0.89635676;0.5756910009103334;0.8768758979885058;0.26103508472442627;0.535;0.9012426;0.7777778;0.98994255;0.245
2;0.28816723823547363;0.8905773;0.5925076984675088;0.8841358443044323;0.5539227895392279;0.8988059;0.74670845;0.9841376;0.29678544;0.89761305;0.5922115714582398;0.8862625718390805;0.25155919790267944;0.5525;0.90480894;0.75;0.9867098;0.2775
3;0.2820896804332733;0.889865;0.6051415829385844;0.8873312339553094;0.568193130910901;0.8964533;0.7630494;0.9864541;0.27685022;0.9004397;0.6038663895611474;0.8851427801724138;0.2545197904109955;0.5536159600997507;0.90429366;0.8120301;0.99102014;0.27
4;0.2816363573074341;0.8919001;0.6118840854373075;0.8924814585038061;0.5738848741589833;0.8991187;0.76339287;0.9854333;0.2982806;0.90106785;0.6107314171732182;0.8916109913793102;0.24829097092151642;0.5725;0.9051526;0.810219;0.9906609;0.2775
5;0.27808472514152527;0.89206976;0.6053874343392144;0.8904054480678577;0.561176177423374;0.899939;0.7566399;0.9845302;0.30525792;0.90201;0.6121029893264246;0.8884563577586206;0.2508864998817444;0.5665859564164649;0.90604466;0.8142857;0.9906609;0.285
6;0.27894848585128784;0.8951903;0.6084313683087565;0.8886015811602593;0.5666831928606841;0.9108802;0.70520234;0.9739683;0.39521554;0.8994975;0.5918348194022311;0.8837051005747126;0.25114917755126953;0.56;0.91148967;0.7105263;0.9802443;0.3375
7;0.2789978086948395;0.89386743;0.6101633782804953;0.8892724836906385;0.5691542288557214;0.9039783;0.74126637;0.98138916;0.3384002;0.9026382;0.597613556410692;0.8828861350574714;0.25052928924560547;0.5475;0.90960264;0.7743902;0.9867098;0.3175
8;0.27548474073410034;0.89173055;0.6130363985121055;0.8929415439712567;0.5729218516674963;0.8986721;0.7660402;0.9858259;0.29454273;0.89886934;0.5954920197708659;0.8838128591954022;0.25343358516693115;0.565;0.90307796;0.8;0.9906609;0.26
9;0.2747599482536316;0.8962418;0.6285108169511686;0.8958473549053055;0.5793670570645403;0.9094796;0.72521245;0.9771487;0.38275605;0.90420854;0.6191927291564537;0.8884348060344828;0.24470016360282898;0.5486284289276808;0.91275394;0.76243097;0.9845546;0.345
10;0.271226167678833;0.8957669;0.6257830420696666;0.8949831536649553;0.5768751557438325;0.91202444;0.7039931;0.9732224;0.4041864;0.9073492;0.6178475753186743;0.8879301364942529;0.24399225413799286;0.5625;0.91775763;0.75609756;0.9820402;0.3875
11;0.27202194929122925;0.8966149;0.6346655292747563;0.8990002475072743;0.5873411412908048;0.90924686;0.73097175;0.97793394;0.38051334;0.9054648;0.6207323989896443;0.889019396551724;0.24353918433189392;0.565;0.9134199;0.77348065;0.985273;0.35
12;0.26880910992622375;0.8984465;0.6428172142404178;0.9032275811531952;0.5936254980079682;0.91495883;0.71220326;0.972869;0.42611513;0.91049;0.6415630653810883;0.8974488146551726;0.2362385094165802;0.5806451612903226;0.92255664;0.75330395;0.97988504;0.4275
13;0.26800626516342163;0.89797163;0.6361862077817197;0.9007165715703676;0.5855968103663095;0.91381407;0.71446866;0.97373277;0.41714427;0.9079774;0.6255623441509567;0.8932650862068965;0.2403462678194046;0.5625;0.9189371;0.7535545;0.9813218;0.3975
14;0.2673325836658478;0.89939624;0.652460942040317;0.9066169250458214;0.5963119860453526;0.9120674;0.74046856;0.97781616;0.4016945;0.9070352;0.6363459387230308;0.8947952586206896;0.2378893941640854;0.5825;0.916332;0.7653061;0.983477;0.375
15;0.26626309752464294;0.8833865;0.6280499935591234;0.896394670127457;0.5792880258899676;0.93551576;0.5686321;0.929051;0.5935709;0.89258796;0.6242765867706798;0.8938200431034483;0.26137492060661316;0.57356608478803;0.9395248;0.5714286;0.9375;0.58
16;0.26625776290893555;0.89976937;0.6529578614059983;0.9028158631684844;0.5944195316392625;0.9155101;0.7213389;0.97385055;0.4296038;0.9079774;0.6314839845794341;0.8926625359195403;0.239778533577919;0.565;0.92091924;0.73777777;0.97880745;0.415
17;0.263934850692749;0.89865005;0.6493786262380647;0.9059777913465248;0.5947890818858561;0.91229874;0.7309599;0.97655976;0.4041864;0.9067211;0.6280267614676011;0.8948024425287356;0.2391430288553238;0.5732009925558312;0.91658294;0.75879395;0.98275864;0.3775
18;0.2666865587234497;0.89885354;0.6510820555451985;0.9061013541946112;0.601295788686768;0.9144458;0.719082;0.9740469;0.4216297;0.9073492;0.6352241857546828;0.8971668462643677;0.23807431757450104;0.5910224438902744;0.9191647;0.74418604;0.9802443;0.4
19;0.2651008367538452;0.89854825;0.6528851976831417;0.906195183295344;0.5983565737051793;0.9123193;0.7297662;0.9764027;0.40443558;0.9038945;0.6214432157627622;0.8949730603448276;0.24038541316986084;0.5759803921568627;0.9157718;0.73039216;0.9802443;0.3725
20;0.26620104908943176;0.89905703;0.6642931934939139;0.9093355278449989;0.608955223880597;0.9067892;0.7825613;0.9843339;0.35783702;0.90420854;0.6291950787471607;0.8972180316091953;0.2417685091495514;0.575;0.9105664;0.7878788;0.9874282;0.325
21;0.26120829582214355;0.90105826;0.672010041223382;0.9125322774797135;0.6151356733881006;0.9099767;0.7770475;0.98268485;0.38300523;0.90295225;0.6245191769124587;0.8952640086206897;0.2396765500307083;0.575682382133995;0.91153973;0.75706214;0.9845546;0.335
22;0.25930726528167725;0.89973545;0.6576473310388844;0.9068742310526634;0.6044831880448319;0.9135834;0.73333335;0.9762849;0.41390482;0.9038945;0.6155332835453206;0.8901418821839081;0.24586883187294006;0.555;0.9157718;0.73039216;0.9802443;0.3725
23;0.25972452759742737;0.90139747;0.6750936046217395;0.9126260674442206;0.6127023661270237;0.91219676;0.7615894;0.98021126;0.40119612;0.90640706;0.6289056569256583;0.8944109195402299;0.24081823229789734;0.5599022004889975;0.9140573;0.7802198;0.9856322;0.355
24;0.2612702250480652;0.89868397;0.6689352769729168;0.912653311149225;0.6077747321206081;0.90787375;0.7669095;0.98241;0.36730626;0.90295225;0.6030677001244373;0.8861108117816091;0.24696531891822815;0.535;0.90963256;0.7791411;0.98706895;0.3175
25;0.2586970627307892;0.899905;0.6609020167072372;0.9102708885274376;0.6097682531771742;0.9120553;0.74606115;0.9784836;0.40119612;0.9038945;0.6139257571866311;0.8904876077586208;0.2448766827583313;0.5610972568578554;0.9152145;0.735;0.98096263;0.3675
26;0.25887531042099;0.9022794;0.6745790631701805;0.9128941065609173;0.6167455768751557;0.92000747;0.7183642;0.9713377;0.46399203;0.90232414;0.6150872079160834;0.8940526221264368;0.2406536489725113;0.5625;0.92043525;0.6831276;0.97234195;0.415
27;0.25870051980018616;0.90082085;0.666824206932302;0.9118205167298705;0.6097682531771742;0.915668;0.73042744;0.9749892;0.43010217;0.90420854;0.6168102748970524;0.8940418462643678;0.24067077040672302;0.5806451612903226;0.9158001;0.73399013;0.98060346;0.3725
28;0.2585884630680084;0.9009226;0.6727663088738174;0.9144797156307062;0.6102117061021171;0.9114298;0.7625;0.9806039;0.39521554;0.9054648;0.6247990886575069;0.8953008261494253;0.2397938221693039;0.5895522388059702;0.9134199;0.77348065;0.985273;0.35
29;0.25644588470458984;0.9018384;0.6802246616667191;0.9151070546500307;0.6177423374034389;0.9099626;0.7870703;0.9837057;0.38225767;0.9026382;0.6150052671337422;0.8934392959770114;0.24459408223628998;0.5825;0.91041803;0.7647059;0.9856322;0.325
30;0.2544010877609253;0.90139747;0.6739027707293395;0.9127493856908977;0.6095190630451034;0.9110852;0.7710784;0.981664;0.3919761;0.9035804;0.6093526420545771;0.8898383620689655;0.24605673551559448;0.5607940446650124;0.9124209;0.7569061;0.9841954;0.3425
31;0.25678741931915283;0.9028899;0.6753346904070747;0.9126377300394316;0.6159980064789434;0.9163781;0.7461473;0.9767168;0.4343384;0.9070352;0.6185279522835018;0.8935730962643679;0.24072568118572235;0.571072319201995;0.92027026;0.73214287;0.9784483;0.41
32;0.2566108703613281;0.9012618;0.6695211644660708;0.9109077327575404;0.6066268061783757;0.91242504;0.7582006;0.9797401;0.40318963;0.9051508;0.6125578840368568;0.8905666307471265;0.24752072989940643;0.5530864197530864;0.91449565;0.75789475;0.983477;0.36
33;0.25623854994773865;0.9025507;0.6838664970987356;0.9161855462933264;0.6198305929247633;0.91296875;0.76836157;0.9806824;0.4066783;0.9045226;0.6176103093519699;0.8925404094827585;0.24328835308551788;0.5725;0.9155496;0.74;0.9813218;0.37
34;0.2561267912387848;0.9016349;0.6711606795773;0.9139820006823987;0.6120109643658111;0.91858006;0.72057074;0.9723193;0.45302767;0.90106785;0.6046894190132122;0.8888173491379311;0.251264363527298;0.5775;0.91833276;0.68240345;0.97341955;0.3975
35;0.25232377648353577;0.9030934;0.6820626280266142;0.9145500091838046;0.6168410563029397;0.91805947;0.73707956;0.9748322;0.44779468;0.9032663;0.6114956593071866;0.8944225933908044;0.24132585525512695;0.5696517412935324;0.9202308;0.6932773;0.9737787;0.4125
36;0.2565665543079376;0.9026185;0.6760845564310097;0.9130063786079357;0.6125093446299527;0.9143685;0.75790423;0.9789548;0.41814104;0.9054648;0.6065373539241402;0.8881892061781608;0.2487305998802185;0.5536159600997507;0.9167506;0.7414634;0.98096263;0.38
37;0.2534019649028778;0.9039414;0.6870517853079332;0.9167358945729571;0.624159402241594;0.9169645;0.75267434;0.97730577;0.43832543;0.9026382;0.6037830956143307;0.8919324712643678;0.24473728239536285;0.57;0.91593814;0.71428573;0.9784483;0.375
38;0.25566762685775757;0.90380573;0.671977915926501;0.915125712845557;0.6192374781958634;0.9185251;0.74089235;0.97514623;0.45103413;0.9045226;0.6161361206455452;0.8923626077586208;0.2432277649641037;0.585;0.920339;0.7051282;0.9752155;0.4125
39;0.2527080178260803;0.90244895;0.6828874578880141;0.9155490004769433;0.6141223272003978;0.9290842;0.68019015;0.96038324;0.534762;0.9038945;0.6168832630827454;0.8960093390804598;0.24128341674804688;0.58;0.9308067;0.6525974;0.9615661;0.5025
40;0.2526618242263794;0.90367;0.6786227263550345;0.9147586639702721;0.6130077248940942;0.92160076;0.7217391;0.9711021;0.47570395;0.9026382;0.6183686184923682;0.8948401580459769;0.24165847897529602;0.5825;0.92189634;0.6785714;0.9709052;0.4275
41;0.25317254662513733;0.9025168;0.6756694587402955;0.9173657921230265;0.6167455768751557;0.91508985;0.75143486;0.9778947;0.42412162;0.9038945;0.6334204263547292;0.8969432471264368;0.2375742346048355;0.5915841584158416;0.9152145;0.735;0.98096263;0.3675
