Feature,Reference,HighGlucose,ReferenceRank,HighRank
Creatinine_full_mean,0.019472586,0.017388927,94.0,99.0
Diastolic blood pressure_last10%_max,0.017905883,0.018909387,95.0,95.0
Potassium_last25%_max,0.017710442,0.017596692,96.0,98.0
Sodium_last10%_std,0.017019285,0.019065788,97.0,92.0
Sodium_full_mean,0.016676733,0.015685508,98.0,107.0
Platelets_full_min,0.016581697,0.015836325,99.0,105.0
Fraction inspired oxygen_full_mean,0.016342534,0.015863752,100.0,104.0
pH_last10%_min,0.01617907,0.015567217,101.0,109.0
Creatinine_full_max,0.015727144,0.019397337,102.0,91.0
Diastolic blood pressure_full_mean,0.015460549,0.015914304,103.0,103.0
Glascow coma scale eye opening_last25%_std,0.015447023,0.015780391,104.0,106.0
Fraction inspired oxygen_full_max,0.015370231,0.016198082,105.0,102.0
Platelets_last25%_std,0.014788556,0.0146260755,106.0,111.0
Glucose_last10%_std,0.01469174,0.021026377,107.0,86.0
Glucose_full_max,0.014663664,0.019560918,108.0,90.0
Hematocrit_full_mean,0.014239398,0.016820766,109.0,100.0
White blood cell count_last25%_std,0.013962342,0.015089671,110.0,110.0
Glascow coma scale eye opening_full_std,0.013894004,0.01858939,111.0,96.0
Sodium_last10%_min,0.013771306,0.013612747,112.0,115.0
Mean blood pressure_last10%_max,0.013365857,0.014395721,113.0,112.0
Glascow coma scale eye opening_last25%_min,0.0133534325,0.012429023,114.0,120.0
Respiratory rate_last25%_min,0.013207934,0.015640367,115.0,108.0
Potassium_last25%_min,0.0132059315,0.013305525,116.0,117.0
Mean blood pressure_last10%_min,0.0124801025,0.01199497,117.0,121.0
Respiratory rate_last25%_max,0.012384663,0.011681494,118.0,122.0
Systolic blood pressure_last10%_min,0.011669333,0.011255515,119.0,123.0
Sodium_full_std,0.011619825,0.0131261125,120.0,118.0
Glucose_full_mean,0.011484973,0.010202929,121.0,131.0
Glucose_last10%_mean,0.01143195,0.0097865,122.0,135.0
pH_full_max,0.011396254,0.0137921525,123.0,114.0
Mean blood pressure_full_min,0.01112836,0.01119697,124.0,124.0
Potassium_full_min,0.011127663,0.010834556,125.0,127.0
Hematocrit_full_max,0.010852938,0.0111128185,126.0,126.0
Glucose_last25%_mean,0.010810764,0.013347963,127.0,116.0
Platelets_full_std,0.010576594,0.009946623,128.0,134.0
Prothrombin time_full_mean,0.010548088,0.00955765,129.0,137.0
Heart Rate_last10%_std,0.0103031695,0.009500976,130.0,139.0
Systolic blood pressure_last25%_std,0.010142938,0.011158617,131.0,125.0
Systolic blood pressure_last25%_max,0.010139776,0.010259636,132.0,130.0
Potassium_full_std,0.009819165,0.009419395,133.0,140.0
ICU_Surgical Intensive Care Unit (SICU),0.009664315,0.009998991,134.0,132.0
pH_full_std,0.009547496,0.0080696065,135.0,145.0
Hematocrit_full_min,0.009470607,0.010748551,136.0,128.0
pH_last25%_min,0.009344546,0.008082639,137.0,144.0
Systolic blood pressure_last10%_max,0.008967037,0.008979028,138.0,141.0
Mean blood pressure_last25%_min,0.0088418955,0.010627154,139.0,129.0
Hemoglobin_full_min,0.0085314335,0.009968875,140.0,133.0
Diastolic blood pressure_last25%_min,0.00835483,0.007637951,141.0,147.0
pH_full_mean,0.008343155,0.0077237356,142.0,146.0
Glascow coma scale eye opening_full_min,0.007991279,0.014182813,143.0,113.0
Lactate_full_std,0.007963148,0.008151075,144.0,142.0
Lactate_last25%_std,0.0076665706,0.009520416,145.0,138.0
Glascow coma scale verbal response_last10%_std,0.007630232,0.0067038955,146.0,152.0
Prothrombin time_full_std,0.007501166,0.007465888,147.0,149.0
Diastolic blood pressure_full_max,0.007481404,0.0075613996,148.0,148.0
Systolic blood pressure_full_max,0.007261695,0.0081127025,149.0,143.0
White blood cell count_full_max,0.006927659,0.006139798,150.0,154.0
Sodium_full_min,0.0066691544,0.00712478,151.0,150.0
Glucose_last10%_max,0.0064590494,0.009696951,152.0,136.0
Glucose_last25%_max,0.005976756,0.005875286,153.0,155.0
Glascow coma scale motor response_full_min,0.005942097,0.004891553,154.0,158.0
Respiratory rate_last10%_max,0.0057803025,0.006646625,155.0,153.0
Sodium_last25%_std,0.005698306,0.0069647296,156.0,151.0
Potassium_full_mean,0.0050260047,0.004157191,157.0,161.0
Respiratory rate_last10%_min,0.0049948883,0.0056710355,158.0,157.0
ICU_Trauma SICU (TSICU),0.0048924484,0.0056766663,159.0,156.0
Systolic blood pressure_last10%_std,0.0047192313,0.00431969,160.0,160.0
ICU_Medical Intensive Care Unit (MICU),0.0044085067,0.0040097865,161.0,162.0
Lactate_full_mean,0.004282959,0.003652398,162.0,164.0
Lactate_full_max,0.003919598,0.004606668,163.0,159.0
Glascow coma scale motor response_last25%_std,0.0030786723,0.0034109352,164.0,165.0
Lactate_full_min,0.0028123,0.0037259355,165.0,163.0
ICU_Coronary Care Unit (CCU),0.0027996595,0.0027172086,166.0,167.0
Glascow coma scale verbal response_last25%_std,0.002778624,0.0026933153,167.0,168.0
pH_last25%_std,0.0027170945,0.002478286,168.0,170.0
Potassium_full_max,0.0026235553,0.0029616808,169.0,166.0
Glascow coma scale eye opening_full_max,0.0022870696,0.0026848756,170.0,169.0
Hematocrit_last25%_std,0.0015795885,0.0016082316,171.0,171.0
Oxygen saturation_last25%_max,0.0014188782,0.001433493,172.0,173.0
Glascow coma scale verbal response_full_min,0.0013328625,0.0015202382,173.0,172.0
Hemoglobin_last25%_std,0.0012948618,0.0011914431,174.0,174.0
Hematocrit_last10%_std,0.00033428107,0.0005108308,175.0,175.0
Glascow coma scale motor response_last10%_std,0.0,0.0,182.5,182.5
Height_full_min,0.0,0.0,182.5,182.5
Oxygen saturation_full_max,0.0,0.0,182.5,182.5
Platelets_last10%_std,0.0,0.0,182.5,182.5
Weight_last10%_std,0.0,0.0,182.5,182.5
White blood cell count_last10%_std,0.0,0.0,182.5,182.5
Weight_last25%_std,0.0,0.0,182.5,182.5
ICU_Intensive Care Unit (ICU),0.0,0.0,182.5,182.5
ICU_Medicine,0.0,0.0,182.5,182.5
ICU_Neuro Stepdown,0.0,0.0,182.5,182.5
ICU_PACU,0.0,0.0,182.5,182.5
ICU_Neurology,0.0,0.0,182.5,182.5
ICU_Surgery/Vascular/Intermediate,0.0,0.0,182.5,182.5
ICU_Surgery/Trauma,0.0,0.0,182.5,182.5
