Model,Reference_AUROC,Reference_AUPRC,Reference_Brier,Reference_ECE,Reference_MCE,HighCreatinine_AUROC,HighCreatinine_AUPRC,HighCreatinine_Brier,HighCreatinine_ECE,HighCreatinine_MCE,Delta_AUROC,Delta_AUPRC,Delta_Brier,Delta_ECE,Delta_MCE
XGBoost,0.8940452187919158,0.5685173211112833,0.0551145153253402,0.015255383235734107,0.16933089779699145,0.8711084529505583,0.6832657912115003,0.1142875927929632,0.032330990799540375,0.21252219099877806,-0.02293676584135751,0.11474847010021705,0.059173077467623,0.01707560756380627,0.04319129320178661
LogisticRegression,0.8738688921594482,0.4856549170107738,0.059130458189736036,0.007771810136468182,0.22214397687065102,0.8420334928229666,0.595955405452201,0.12880821194676045,0.053513378385657576,0.1705219968190671,-0.03183539933648161,0.11030048844142726,0.06967775375702442,0.045741568249189395,-0.051621980051583916
Random Forest,0.8730210043642117,0.541535344739014,0.05602360418415812,0.01461180357392524,0.1449788303019215,0.8555502392344498,0.6414321536688101,0.12355946001471482,0.04055246721883306,0.24228198555181812,-0.017470765129761867,0.09989680892979613,0.06753585583055671,0.025940663644907817,0.09730315524989663
MLP,0.8797388845880089,0.4991659537811791,0.059873904679909766,0.03271642021753681,0.17139335145862467,0.8445374800637958,0.6134049636857022,0.12455750503559716,0.033735819744262215,0.13438531389417707,-0.035201404524213054,0.11423900990452307,0.0646836003556874,0.0010193995267254036,-0.03700803756444759
