Feature,MeanAbsSHAP
Lactate_full_min,0.003807952
Lactate_full_mean,0.002852181
ICU_Trauma SICU (TSICU),0.0027592848
Lactate_full_max,0.0019074788
Potassium_full_max,0.0018860977
Glascow coma scale eye opening_full_max,0.0018735764
ICU_Coronary Care Unit (CCU),0.0017786702
Hematocrit_last25%_std,0.0015047297
Glascow coma scale verbal response_full_min,0.0012032645
Glascow coma scale verbal response_last25%_std,0.0006659768
Oxygen saturation_last25%_max,0.000594545
Hemoglobin_last25%_std,0.00037678162
Hematocrit_last10%_std,0.00026061808
Glascow coma scale motor response_last10%_std,0.0
Height_full_min,0.0
Oxygen saturation_full_max,0.0
Platelets_last10%_std,0.0
Weight_last10%_std,0.0
White blood cell count_last10%_std,0.0
Weight_last25%_std,0.0
ICU_Intensive Care Unit (ICU),0.0
ICU_Medicine,0.0
ICU_Neuro Stepdown,0.0
ICU_PACU,0.0
ICU_Neurology,0.0
ICU_Surgery/Vascular/Intermediate,0.0
ICU_Surgery/Trauma,0.0
