Feature,Reference,HighFiO2,ReferenceRank,HighRank,SHAP_change
Mean blood pressure_last25%_min,0.007866206,0.009364551,143.0,139.0,0.0014983453
Respiratory rate_last10%_min,0.0050284164,0.00647124,156.0,154.0,0.0014428236
Respiratory rate_last25%_max,0.009431424,0.010598213,132.0,125.0,0.0011667898
Glucose_last25%_max,0.005204564,0.0063567245,155.0,155.0,0.0011521606
Mean blood pressure_last10%_min,0.0127291605,0.013828907,107.0,111.0,0.0010997467
Glascow coma scale eye opening_last25%_max,0.047037184,0.048067536,40.0,36.0,0.001030352
Respiratory rate_last10%_max,0.0059336387,0.0069448985,152.0,150.0,0.0010112599
Glascow coma scale eye opening_full_min,0.011716229,0.012726675,113.0,117.0,0.0010104459
Oxygen saturation_last25%_max,0.000594545,0.0015896547,173.0,173.0,0.0009951098
Potassium_full_max,0.0018860977,0.00283538,167.0,167.0,0.0009492822
Mean blood pressure_last10%_max,0.013120845,0.014053203,105.0,110.0,0.0009323582
Hemoglobin_full_min,0.0077549675,0.008496917,144.0,143.0,0.0007419493
pH_full_max,0.009572526,0.010289099,129.0,128.0,0.0007165726
Sodium_last10%_std,0.015564064,0.01625874,98.0,103.0,0.00069467723
Hematocrit_full_max,0.009576114,0.010199388,128.0,129.0,0.00062327366
ICU_Coronary Care Unit (CCU),0.0017786702,0.0023675247,169.0,168.0,0.0005888544
Heart Rate_last25%_std,0.017209781,0.017704358,93.0,96.0,0.000494577
Oxygen saturation_full_min,0.048786767,0.049273238,38.0,34.0,0.00048647076
Glascow coma scale eye opening_full_max,0.0018735764,0.0023410972,168.0,169.0,0.0004675208
Platelets_last10%_min,0.025625449,0.026070295,75.0,70.0,0.00044484623
Platelets_full_max,0.03791467,0.03827947,48.0,49.0,0.00036479905
Systolic blood pressure_last25%_max,0.009403636,0.009746734,133.0,135.0,0.0003430983
Creatinine_full_min,0.042673927,0.043011677,46.0,41.0,0.00033774972
Hematocrit_last25%_std,0.0015047297,0.0018404468,170.0,172.0,0.0003357171
Lactate_full_min,0.003807952,0.00407037,163.0,163.0,0.00026241806
Hematocrit_last10%_std,0.00026061808,0.00050016097,175.0,175.0,0.00023954289
Glascow coma scale verbal response_full_min,0.0012032645,0.0012782353,171.0,174.0,7.4970885e-05
ICU_Medicine,0.0,0.0,182.5,182.5,0.0
ICU_PACU,0.0,0.0,182.5,182.5,0.0
ICU_Intensive Care Unit (ICU),0.0,0.0,182.5,182.5,0.0
Glascow coma scale motor response_last10%_std,0.0,0.0,182.5,182.5,0.0
Weight_last25%_std,0.0,0.0,182.5,182.5,0.0
Oxygen saturation_full_max,0.0,0.0,182.5,182.5,0.0
Platelets_last10%_std,0.0,0.0,182.5,182.5,0.0
Weight_last10%_std,0.0,0.0,182.5,182.5,0.0
ICU_Neuro Stepdown,0.0,0.0,182.5,182.5,0.0
ICU_Surgery/Vascular/Intermediate,0.0,0.0,182.5,182.5,0.0
ICU_Neurology,0.0,0.0,182.5,182.5,0.0
ICU_Surgery/Trauma,0.0,0.0,182.5,182.5,0.0
White blood cell count_last10%_std,0.0,0.0,182.5,182.5,0.0
Height_full_min,0.0,0.0,182.5,182.5,0.0
White blood cell count_full_min,0.06163896,0.06161368,25.0,26.0,-2.527982e-05
Diastolic blood pressure_full_mean,0.014919045,0.014888318,100.0,108.0,-3.0727126e-05
ICU_Neuro Intermediate,0.023405965,0.023199458,81.0,81.0,-0.00020650774
Respiratory rate_last10%_mean,0.023876173,0.023652576,79.0,78.0,-0.00022359751
Glucose_last10%_mean,0.011052932,0.010763762,119.0,124.0,-0.00028917007
Potassium_full_mean,0.005689512,0.00535391,154.0,159.0,-0.0003356021
Systolic blood pressure_last10%_std,0.004691572,0.0043086885,157.0,162.0,-0.00038288347
Weight_full_mean,0.06983738,0.06934365,16.0,15.0,-0.0004937276
Lactate_last25%_std,0.009538883,0.009036887,131.0,141.0,-0.0005019959
Glascow coma scale motor response_last25%_min,0.14032723,0.13960506,4.0,5.0,-0.0007221699
Heart Rate_last25%_mean,0.05068801,0.049854845,33.0,33.0,-0.0008331649
Heart Rate_last25%_max,0.03014968,0.0290058,64.0,63.0,-0.0011438802
Systolic blood pressure_last25%_mean,0.02372257,0.022536233,80.0,84.0,-0.0011863373
Glascow coma scale verbal response_full_max,0.024845187,0.023644706,76.0,79.0,-0.0012004804
Fraction inspired oxygen_last10%_min,0.044313733,0.042944998,43.0,42.0,-0.001368735
pH_full_mean,0.009110311,0.0077370047,135.0,146.0,-0.0013733064
Potassium_full_min,0.011436236,0.009994318,115.0,132.0,-0.0014419183
pH_last25%_std,0.0038366665,0.002339293,161.0,170.0,-0.0014973735
Sodium_last25%_std,0.008040987,0.0064839143,140.0,153.0,-0.0015570726
Glucose_last25%_mean,0.011518678,0.009543674,114.0,137.0,-0.0019750036
Glascow coma scale motor response_last25%_std,0.0056926487,0.0035275244,153.0,166.0,-0.0021651243
Glascow coma scale eye opening_last10%_max,0.06408782,0.061851613,22.0,24.0,-0.0022362098
Sodium_full_min,0.008808564,0.0065038283,138.0,152.0,-0.002304736
Systolic blood pressure_last10%_max,0.011815028,0.009314305,112.0,140.0,-0.002500723
Glucose_full_min,0.03401371,0.031511955,52.0,59.0,-0.002501756
Diastolic blood pressure_last10%_max,0.02060047,0.017950626,85.0,95.0,-0.0026498437
Potassium_full_std,0.012279896,0.009421847,110.0,138.0,-0.0028580492
