Feature,Reference,HighGlucose,ReferenceRank,HighRank,SHAP_change
Sodium_full_mean,0.03427876378026998,0.035099486363926076,49.0,50.0,0.0008207225836560986
Lactate_full_max,0.014212988509908644,0.0150242292297058,80.0,78.0,0.0008112407197971554
Platelets_full_std,0.00820362065052233,0.008931499357742853,93.0,94.0,0.000727878707220523
Hemoglobin_full_std,0.07472578276188067,0.07545164800235767,16.0,22.0,0.0007258652404769916
Glascow coma scale eye opening_full_mean,0.013441025965377426,0.01413122499707521,81.0,80.0,0.000690199031697784
Hematocrit_last10%_std,0.0025786455287543446,0.0032438204265927083,111.0,111.0,0.0006651748978383637
Glucose_last10%_max,1.1470359230000085e-05,0.0006392193864497053,147.0,130.0,0.0006277490272197052
Potassium_full_max,0.015356330676472322,0.015978248776466464,76.0,75.0,0.0006219180999941423
Fraction inspired oxygen_full_min,0.00962006416282896,0.010230842035138708,89.0,88.0,0.0006107778723097486
Systolic blood pressure_last10%_min,0.00476447261853178,0.005359621306455198,102.0,101.0,0.0005951486879234181
Weight_last10%_std,0.003458744426079872,0.00398412046863196,104.0,107.0,0.0005253760425520883
Diastolic blood pressure_full_max,0.0008443739655697426,0.0013663356026331443,126.0,125.0,0.0005219616370634017
ICU_Coronary Care Unit (CCU),0.003274404942976918,0.003760368636541016,108.0,108.0,0.0004859636935640979
Glascow coma scale motor response_last10%_std,0.02743011385759299,0.027911752799309113,56.0,57.0,0.00048163894171612473
White blood cell count_last10%_std,0.0007676031766670164,0.0012286183323840336,127.0,127.0,0.00046101515571701725
Glucose_full_max,0.00019002876985540235,0.0006147787856844196,134.0,131.0,0.00042475001582901724
Systolic blood pressure_full_mean,0.045887336419182606,0.046280188412788616,33.0,39.0,0.0003928519936060096
Bilirubin_full_std,0.0022885852360372797,0.0026801241946053274,114.0,113.0,0.0003915389585680477
Glucose_full_mean,0.00013092510288002213,0.0005119759002405141,136.0,132.0,0.00038105079736049194
Diastolic blood pressure_last10%_mean,0.0014940444145915806,0.0018529880212942535,121.0,119.0,0.00035894360670267293
Sodium_last25%_std,0.0030415881267070915,0.0034001574606498117,109.0,110.0,0.00035856933394272025
Potassium_full_min,0.03222756992240562,0.03258470423635232,53.0,54.0,0.00035713431394669704
Heart Rate_full_min,0.003380904148739809,0.0037365271504332127,106.0,109.0,0.00035562300169340345
Sodium_full_std,0.012639689618668858,0.012990335926643422,82.0,82.0,0.00035064630797456385
Glascow coma scale motor response_last25%_std,0.0060606355886692375,0.006381226431348949,99.0,97.0,0.00032059084267971154
Respiratory rate_last10%_max,0.005988944922283084,0.0062557800170679675,100.0,99.0,0.0002668350947848839
Heart Rate_last10%_std,0.0069111631570691135,0.007097115135306038,96.0,96.0,0.0001859519782369248
Platelets_last10%_std,0.001849585910879264,0.0020314746131490052,118.0,115.0,0.00018188870226974112
Potassium_full_std,0.0015653139951276975,0.0017339890842019226,120.0,121.0,0.00016867508907422507
Mean blood pressure_last25%_min,0.004796855593494227,0.004959502011027223,101.0,103.0,0.00016264641753299582
Mean blood pressure_last10%_min,0.0013621337948772224,0.0015068410915593691,122.0,124.0,0.00014470729668214673
Glascow coma scale verbal response_full_min,0.022575483010221248,0.022693409592805504,66.0,64.0,0.00011792658258425598
ICU_Trauma SICU (TSICU),0.0019038236327851342,0.002016216103544969,116.0,116.0,0.00011239247075983476
Hematocrit_full_std,0.008977410205974472,0.009089796095358302,91.0,92.0,0.00011238588938383004
White blood cell count_last25%_std,0.010896734241759317,0.010988811318626347,87.0,86.0,9.207707686702954e-05
Respiratory rate_last25%_max,0.0024611766770352385,0.002536289920050383,113.0,114.0,7.511324301514438e-05
Diastolic blood pressure_last25%_max,0.0001905982729202142,0.0002650632535650153,133.0,136.0,7.446498064480109e-05
Weight_last25%_std,0.001184040853209437,0.0012549545750681899,124.0,126.0,7.091372185875282e-05
Sodium_last10%_std,0.00014186718771630715,0.00018512171585099182,135.0,137.0,4.325452813468467e-05
Heart Rate_full_max,0.00042597068308169035,0.00045650070689423557,129.0,134.0,3.053002381254522e-05
Heart Rate_last25%_max,0.0016480966164007392,0.0016721633486527507,119.0,123.0,2.4066732252011518e-05
Glucose_last10%_std,1.3816371475436886e-05,3.097315998882939e-05,146.0,144.0,1.7156788513392506e-05
Mean blood pressure_last10%_max,0.00031747550464932835,0.0003289136703114534,131.0,135.0,1.143816566212503e-05
Mean blood pressure_full_min,8.698182799382505e-05,9.820109680864505e-05,138.0,138.0,1.1219268814820002e-05
Respiratory rate_full_max,1.6287516149285525e-06,1.8110838070708345e-06,151.0,149.0,1.8233219214228208e-07
ICU_Surgery/Trauma,0.0,0.0,155.5,154.5,0.0
ICU_PACU,0.0,0.0,155.5,154.5,0.0
ICU_Neurology,0.0,0.0,155.5,154.5,0.0
ICU_Medicine,0.0,0.0,155.5,154.5,0.0
pH_full_min,4.540062096662831e-06,3.7880464688751455e-06,149.0,148.0,-7.520156277876854e-07
pH_last10%_std,4.853152212700069e-06,4.033355093058031e-06,148.0,147.0,-8.197971196420378e-07
ICU_Surgery/Vascular/Intermediate,1.0126681293719287e-06,0.0,153.0,154.5,-1.0126681293719287e-06
Oxygen saturation_last25%_max,1.590510444849809e-06,4.01981861519761e-07,152.0,151.0,-1.1885285833300478e-06
ICU_Intensive Care Unit (ICU),2.87312134619256e-06,0.0,150.0,154.5,-2.87312134619256e-06
pH_last25%_std,1.7156740790128556e-05,1.4260008781760113e-05,144.0,146.0,-2.896732008368443e-06
pH_last25%_min,4.767186040148111e-05,3.9553861382989614e-05,142.0,143.0,-8.117999018491498e-06
pH_last10%_min,5.581516962002681e-05,4.6323605069726565e-05,141.0,142.0,-9.491564550300247e-06
pH_last10%_max,5.7078273168754284e-05,4.740400763650899e-05,140.0,141.0,-9.674265532245296e-06
Height_full_min,0.0005536986149526913,0.0005025210462962055,128.0,133.0,-5.117756865648585e-05
Glascow coma scale verbal response_last25%_std,0.009601038392488907,0.009537876198579584,90.0,89.0,-6.316219390932291e-05
Oxygen saturation_last10%_max,9.53826484267741e-05,2.7755829735495875e-05,137.0,145.0,-6.762681869127823e-05
Hematocrit_full_min,0.00649148204183668,0.006364025879224784,98.0,98.0,-0.00012745616261189592
ICU_Neuro Stepdown,0.0018819245150796366,0.0017014724347546538,117.0,122.0,-0.00018045208032498278
pH_full_max,0.00028108640753051275,5.486603841658627e-05,132.0,140.0,-0.00022622036911392648
Temperature_full_max,0.0021850692744194533,0.001909441666832995,115.0,118.0,-0.0002756276075864582
pH_full_mean,0.0003729939120266091,6.737931529147115e-05,130.0,139.0,-0.0003056145967351379
Temperature_last10%_max,0.0012512707126550154,0.000938639498792603,123.0,129.0,-0.0003126312138624123
Prothrombin time_full_mean,0.0349463013280557,0.03452760493470379,48.0,52.0,-0.0004186963933519097
Systolic blood pressure_full_max,0.0033487416346132458,0.0028436466257248673,107.0,112.0,-0.0005050950088883784
ICU_Surgical Intensive Care Unit (SICU),0.00896899387935175,0.00838955249493855,92.0,95.0,-0.0005794413844131992
Glascow coma scale eye opening_full_min,0.020179152718390353,0.019569769389911014,68.0,67.0,-0.000609383328479339
Temperature_last25%_max,0.0026727648998173216,0.0019673300671585914,110.0,117.0,-0.0007054348326587302
Prothrombin time_full_std,0.01576960431697597,0.014981840722557361,74.0,79.0,-0.0007877635944186084
Potassium_full_mean,0.0192877001904098,0.01844542092246843,69.0,71.0,-0.0008422792679413718
Glascow coma scale eye opening_last25%_std,0.02124274854159217,0.020339226640555902,67.0,66.0,-0.0009035219010362673
Glascow coma scale eye opening_full_std,0.016002405103841648,0.015052593815353985,72.0,77.0,-0.0009498112884876626
